accuracy,f1_score,brier_score,log_loss,C,repeat,fold
0.822,0.81419624217119,0.178,6.415770303262852,10.0,0,0
0.764,0.7739463601532567,0.236,8.506302199831648,1.0,0,1
0.81,0.7930283224400871,0.19,6.848294143932258,0.1,0,2
0.794,0.7794432548179872,0.206,7.424992598158132,0.1,0,3
0.818,0.8176352705410822,0.182,6.5599449168193225,1.0,0,4
0.778,0.7869481765834933,0.222,8.00169105238401,0.1,0,5
0.838,0.8301886792452831,0.162,5.839071849036978,1.0,0,6
0.796,0.8053435114503816,0.204,7.3529052913799,0.1,0,7
0.834,0.8349900596421471,0.166,5.983246462593447,0.1,0,8
0.828,0.8383458646616542,0.172,6.19950838292815,1.0,0,9
0.838,0.8294736842105264,0.162,5.839071849036979,10.0,1,0
0.808,0.808,0.192,6.920381450710493,0.1,1,1
0.81,0.7974413646055437,0.19,6.848294143932258,0.1,1,2
0.76,0.7540983606557377,0.24,8.650476813388115,1.0,1,3
0.772,0.7710843373493976,0.228,8.217952972718711,1.0,1,4
0.784,0.7938931297709924,0.216,7.7854291320493045,0.1,1,5
0.812,0.803347280334728,0.188,6.7762068371540245,10.0,1,6
0.832,0.8384615384615385,0.168,6.055333769371682,10.0,1,7
0.804,0.8024193548387096,0.196,7.064556064266963,1.0,1,8
0.842,0.8561020036429873,0.158,5.69489723548051,0.1,1,9
0.81,0.8041237113402062,0.19,6.848294143932258,10.0,2,0
0.788,0.79296875,0.212,7.641254518492836,0.1,2,1
0.788,0.774468085106383,0.212,7.641254518492837,1.0,2,2
0.812,0.7956521739130434,0.188,6.7762068371540245,0.1,2,3
0.804,0.8129770992366412,0.196,7.064556064266961,0.1,2,4
0.836,0.842911877394636,0.164,5.911159155815213,0.1,2,5
0.816,0.8122448979591836,0.184,6.632032223597556,10.0,2,6
0.812,0.8206106870229007,0.188,6.7762068371540245,0.1,2,7
0.806,0.8016359918200409,0.194,6.992468757488728,0.1,2,8
0.786,0.8022181146025879,0.214,7.713341825271071,1.0,2,9
0.804,0.7975206611570248,0.196,7.064556064266963,0.1,3,0
0.82,0.8275862068965517,0.18,6.487857610041088,0.1,3,1
0.806,0.7949260042283298,0.194,6.992468757488727,1.0,3,2
0.772,0.7605042016806722,0.228,8.217952972718711,10.0,3,3
0.808,0.8117647058823529,0.192,6.920381450710493,1.0,3,4
0.782,0.7875243664717348,0.218,7.85751643882754,0.1,3,5
0.82,0.8109243697478992,0.18,6.487857610041087,0.1,3,6
0.812,0.8134920634920635,0.188,6.776206837154025,1.0,3,7
0.806,0.8101761252446184,0.194,6.992468757488727,10.0,3,8
0.768,0.7843866171003717,0.232,8.362127586275179,10.0,3,9
0.782,0.7685774946921444,0.218,7.85751643882754,1.0,4,0
0.794,0.8045540796963947,0.206,7.424992598158133,0.1,4,1
0.778,0.7701863354037267,0.222,8.001691052384007,10.0,4,2
0.802,0.7941787941787942,0.198,7.136643371045197,0.1,4,3
0.804,0.8032128514056225,0.196,7.064556064266963,0.1,4,4
0.798,0.804642166344294,0.202,7.280817984601665,0.1,4,5
0.84,0.8333333333333334,0.16,5.7669845422587445,1.0,4,6
0.822,0.8271844660194175,0.178,6.415770303262852,1.0,4,7
0.782,0.7761806981519507,0.218,7.857516438827539,1.0,4,8
0.784,0.7992565055762082,0.216,7.7854291320493045,1.0,4,9
0.776,0.7723577235772358,0.224,8.073778359162242,1.0,5,0
0.776,0.7768924302788844,0.224,8.07377835916224,1.0,5,1
0.808,0.7974683544303798,0.192,6.920381450710494,0.1,5,2
0.814,0.8042105263157895,0.186,6.704119530375791,1.0,5,3
0.812,0.8073770491803278,0.188,6.7762068371540245,0.1,5,4
0.8,0.8120300751879699,0.2,7.20873067782343,10.0,5,5
0.816,0.8083333333333333,0.184,6.632032223597556,1.0,5,6
0.818,0.8279773156899811,0.182,6.5599449168193225,10.0,5,7
0.814,0.8143712574850299,0.186,6.704119530375791,1.0,5,8
0.814,0.8293577981651377,0.186,6.704119530375791,1.0,5,9
0.82,0.8125,0.18,6.487857610041087,1.0,6,0
0.796,0.8053435114503816,0.204,7.352905291379899,0.1,6,1
0.818,0.8067940552016986,0.182,6.5599449168193225,10.0,6,2
0.78,0.7669491525423728,0.22,7.929603745605774,10.0,6,3
0.812,0.8112449799196787,0.188,6.7762068371540245,0.1,6,4
0.826,0.8317214700193424,0.174,6.271595689706384,0.1,6,5
0.814,0.8066528066528067,0.186,6.704119530375791,10.0,6,6
0.784,0.788235294117647,0.216,7.7854291320493045,0.1,6,7
0.78,0.7859922178988327,0.22,7.929603745605773,1.0,6,8
0.814,0.8280961182994455,0.186,6.704119530375791,10.0,6,9
0.814,0.8,0.186,6.704119530375791,0.1,7,0
0.816,0.8174603174603174,0.184,6.632032223597556,1.0,7,1
0.82,0.8117154811715481,0.18,6.487857610041088,1.0,7,2
0.824,0.8158995815899581,0.176,6.343682996484619,0.1,7,3
0.802,0.8062622309197651,0.198,7.136643371045197,0.1,7,4
0.792,0.7992277992277992,0.208,7.497079904936368,1.0,7,5
0.806,0.7931769722814499,0.194,6.992468757488727,0.1,7,6
0.826,0.8310679611650486,0.174,6.271595689706384,0.1,7,7
0.798,0.8038834951456311,0.202,7.280817984601665,1.0,7,8
0.8,0.8168498168498168,0.2,7.20873067782343,0.1,7,9
0.81,0.7983014861995754,0.19,6.848294143932258,1.0,8,0
0.824,0.8345864661654135,0.176,6.343682996484619,1.0,8,1
0.8,0.7933884297520661,0.2,7.20873067782343,1.0,8,2
0.788,0.78099173553719,0.212,7.641254518492837,1.0,8,3
0.83,0.8254620123203286,0.17,6.127421076149917,1.0,8,4
0.834,0.839458413926499,0.166,5.983246462593448,0.1,8,5
0.784,0.782258064516129,0.216,7.7854291320493045,0.1,8,6
0.8,0.8054474708171206,0.2,7.20873067782343,0.1,8,7
0.816,0.8122448979591836,0.184,6.632032223597556,10.0,8,8
0.806,0.8200371057513914,0.194,6.992468757488727,0.1,8,9
