accuracy,f1_score,brier_score,log_loss,criterion,max_features,min_samples_leaf,min_samples_split,n_estimators,repeat,fold
0.866,0.8612836438923396,0.134,4.829849554141698,gini,sqrt,1,2,200,0,0
0.85,0.8613678373382625,0.15,5.406548008367573,entropy,log2,1,10,200,0,1
0.874,0.8662420382165605,0.126,4.5415003270287615,gini,log2,1,2,100,0,2
0.878,0.8704883227176221,0.122,4.397325713472292,entropy,log2,1,2,200,0,3
0.886,0.8866799204771372,0.114,4.108976486359356,entropy,sqrt,1,10,200,0,4
0.888,0.8951310861423221,0.112,4.036889179581121,gini,sqrt,1,2,200,0,5
0.872,0.865546218487395,0.128,4.613587633806995,entropy,log2,1,2,200,0,6
0.878,0.8864059590316573,0.122,4.397325713472293,gini,log2,1,2,200,0,7
0.886,0.8897485493230174,0.114,4.108976486359356,entropy,log2,1,2,200,0,8
0.902,0.9097605893186004,0.098,3.5322780321334815,gini,log2,1,2,100,0,9
0.88,0.8785425101214575,0.12,4.325238406694058,entropy,sqrt,1,2,200,1,0
0.894,0.8994307400379506,0.106,3.820627259246418,gini,log2,1,2,200,1,1
0.866,0.859538784067086,0.134,4.829849554141698,gini,log2,1,2,200,1,2
0.836,0.8340080971659919,0.164,5.911159155815213,gini,log2,1,2,200,1,3
0.858,0.8615984405458089,0.142,5.118198781254636,entropy,log2,1,2,200,1,4
0.852,0.8598484848484849,0.148,5.334460701589338,gini,sqrt,1,2,200,1,5
0.886,0.8824742268041237,0.114,4.108976486359356,entropy,sqrt,1,2,200,1,6
0.874,0.8813559322033898,0.126,4.5415003270287615,gini,sqrt,1,10,200,1,7
0.862,0.8622754491017964,0.138,4.974024167698167,entropy,sqrt,1,2,200,1,8
0.874,0.8852459016393442,0.126,4.5415003270287615,entropy,log2,1,2,200,1,9
0.864,0.8612244897959184,0.136,4.901936860919933,gini,sqrt,1,2,200,2,0
0.872,0.8823529411764706,0.128,4.613587633806995,gini,log2,1,2,200,2,1
0.866,0.8589473684210527,0.134,4.829849554141699,entropy,sqrt,1,2,200,2,2
0.84,0.8312236286919831,0.16,5.7669845422587445,entropy,log2,1,2,200,2,3
0.862,0.8675623800383877,0.138,4.974024167698167,gini,sqrt,1,2,200,2,4
0.868,0.8764044943820225,0.132,4.7577622473634635,gini,sqrt,1,2,200,2,5
0.876,0.8739837398373984,0.124,4.469413020250527,entropy,log2,1,2,200,2,6
0.888,0.8918918918918919,0.112,4.036889179581121,gini,log2,1,2,200,2,7
0.874,0.8752475247524752,0.126,4.541500327028761,entropy,log2,1,10,200,2,8
0.872,0.8848920863309353,0.128,4.613587633806995,gini,log2,1,2,200,2,9
0.882,0.8803245436105477,0.118,4.253151099915824,gini,log2,1,2,200,3,0
0.878,0.8833652007648184,0.122,4.397325713472292,entropy,log2,1,2,200,3,1
0.87,0.8625792811839323,0.13,4.68567494058523,entropy,sqrt,1,2,200,3,2
0.866,0.8583509513742071,0.134,4.829849554141699,gini,sqrt,1,2,200,3,3
0.832,0.8372093023255814,0.168,6.055333769371682,gini,log2,1,2,200,3,4
0.876,0.8843283582089553,0.124,4.469413020250528,gini,sqrt,1,2,200,3,5
0.894,0.8946322067594433,0.106,3.8206272592464186,gini,sqrt,1,10,200,3,6
0.886,0.8934579439252337,0.114,4.108976486359356,gini,log2,1,2,200,3,7
0.868,0.8705882352941177,0.132,4.7577622473634635,gini,sqrt,1,2,200,3,8
0.86,0.8736462093862816,0.14,5.046111474476402,gini,log2,1,2,200,3,9
0.866,0.8629856850715747,0.134,4.829849554141699,gini,log2,1,2,100,4,0
0.862,0.8690702087286527,0.138,4.9740241676981665,gini,sqrt,1,2,100,4,1
0.852,0.8483606557377049,0.148,5.334460701589338,gini,log2,1,2,200,4,2
0.838,0.8294736842105264,0.162,5.839071849036978,entropy,sqrt,1,2,200,4,3
