accuracy,f1_score,brier_score,criterion,max_features,min_samples_leaf,min_samples_split,n_estimators,repeat,fold
0.88,0.88,0.12,gini,sqrt,1,10,200,0,0
0.75,0.7474747474747475,0.25,gini,log2,1,2,200,0,1
0.81,0.7956989247311828,0.19,entropy,log2,1,2,200,0,2
0.84,0.813953488372093,0.16,gini,sqrt,1,2,200,0,3
0.83,0.8172043010752689,0.17,gini,log2,1,2,200,0,4
0.76,0.7647058823529411,0.24,gini,log2,1,10,200,0,5
0.87,0.8828828828828829,0.13,gini,sqrt,1,2,200,0,6
0.78,0.8166666666666667,0.22,gini,sqrt,1,10,200,0,7
0.73,0.7522935779816514,0.27,gini,sqrt,1,2,100,0,8
0.77,0.7160493827160493,0.23,entropy,log2,1,2,200,0,9
0.88,0.8775510204081632,0.12,gini,sqrt,1,10,200,1,0
0.71,0.7128712871287128,0.29,gini,sqrt,1,2,200,1,1
0.8,0.782608695652174,0.2,entropy,log2,1,10,200,1,2
0.82,0.7906976744186046,0.18,gini,sqrt,1,2,200,1,3
0.8,0.7959183673469388,0.2,entropy,sqrt,1,10,100,1,4
0.69,0.6868686868686869,0.31,entropy,sqrt,1,2,200,1,5
0.86,0.8703703703703703,0.14,gini,log2,1,2,100,1,6
0.73,0.7768595041322314,0.27,gini,sqrt,1,10,100,1,7
0.74,0.7592592592592593,0.26,gini,sqrt,1,2,200,1,8
0.77,0.7160493827160493,0.23,gini,sqrt,1,2,100,1,9
0.88,0.8823529411764706,0.12,entropy,log2,1,10,200,2,0
0.72,0.72,0.28,gini,sqrt,1,10,200,2,1
0.79,0.7789473684210526,0.21,gini,log2,1,2,100,2,2
0.82,0.7954545454545454,0.18,entropy,log2,1,10,200,2,3
0.82,0.8085106382978723,0.18,gini,log2,1,2,200,2,4
0.73,0.7326732673267327,0.27,entropy,log2,1,10,200,2,5
0.87,0.8807339449541285,0.13,entropy,log2,1,2,100,2,6
0.78,0.819672131147541,0.22,entropy,sqrt,1,10,200,2,7
0.74,0.7592592592592593,0.26,gini,sqrt,1,2,200,2,8
0.76,0.7073170731707317,0.24,gini,sqrt,1,2,200,2,9
0.86,0.8571428571428571,0.14,gini,log2,1,2,200,3,0
0.75,0.7474747474747475,0.25,gini,sqrt,1,2,200,3,1
0.79,0.7835051546391752,0.21,gini,sqrt,1,10,200,3,2
0.83,0.8,0.17,gini,log2,1,10,200,3,3
0.8,0.7959183673469388,0.2,gini,sqrt,1,10,200,3,4
0.74,0.74,0.26,entropy,sqrt,1,2,200,3,5
0.84,0.8490566037735849,0.16,entropy,log2,1,10,100,3,6
0.77,0.8099173553719008,0.23,gini,sqrt,1,2,100,3,7
0.74,0.7592592592592593,0.26,entropy,log2,1,10,200,3,8
0.77,0.735632183908046,0.23,entropy,sqrt,1,10,100,3,9
0.86,0.8571428571428571,0.14,entropy,log2,1,2,100,4,0
0.77,0.7766990291262136,0.23,gini,sqrt,1,10,100,4,1
0.78,0.7755102040816326,0.22,gini,log2,1,10,100,4,2
0.83,0.7951807228915663,0.17,gini,sqrt,1,2,200,4,3
0.82,0.8125,0.18,gini,sqrt,1,2,200,4,4
0.73,0.7326732673267327,0.27,gini,log2,1,10,200,4,5
0.88,0.8867924528301887,0.12,gini,log2,1,2,200,4,6
0.77,0.8034188034188035,0.23,gini,log2,1,2,200,4,7
0.72,0.75,0.28,gini,sqrt,1,2,200,4,8
