accuracy,f1_score,brier_score,log_loss,criterion,max_features,min_samples_leaf,min_samples_split,repeat,fold
0.74,0.723404255319149,0.26,9.37134988117046,entropy,sqrt,15,14,0,0
0.73,0.7378640776699029,0.27,9.731786415061631,gini,,15,14,0,1
0.76,0.76,0.24,8.650476813388117,entropy,,1,6,0,2
0.69,0.6436781609195402,0.31,11.17353255062632,gini,,7,6,0,3
0.71,0.6813186813186813,0.29,10.452659482843973,entropy,,15,2,0,4
0.66,0.6382978723404256,0.34,12.254842152299831,entropy,,7,14,0,5
0.72,0.7454545454545455,0.28,10.092222948952804,entropy,,7,6,0,6
0.6,0.6610169491525424,0.4,14.41746135564686,entropy,,7,6,0,7
0.69,0.6868686868686869,0.31,11.17353255062632,gini,,7,2,0,8
0.69,0.651685393258427,0.31,11.17353255062632,gini,,15,2,0,9
0.77,0.7850467289719626,0.23,8.290040279496944,entropy,,7,6,1,0
0.76,0.7551020408163265,0.24,8.650476813388117,entropy,,15,2,1,1
0.74,0.7111111111111111,0.26,9.37134988117046,entropy,,1,2,1,2
0.66,0.6730769230769231,0.34,12.254842152299831,gini,,15,6,1,3
0.67,0.6451612903225806,0.33,11.894405618408664,gini,,1,2,1,4
0.7,0.6875,0.3,10.813096016735146,entropy,,15,6,1,5
0.72,0.75,0.28,10.092222948952802,entropy,,15,2,1,6
0.76,0.7735849056603774,0.24,8.650476813388115,entropy,,1,14,1,7
0.68,0.7037037037037037,0.32,11.533969084517489,gini,sqrt,15,6,1,8
0.72,0.7021276595744681,0.28,10.092222948952802,gini,,15,2,1,9
0.59,0.6238532110091743,0.41,14.777897889538036,entropy,,15,2,2,0
0.74,0.7291666666666666,0.26,9.37134988117046,entropy,,1,14,2,1
0.72,0.6956521739130435,0.28,10.092222948952802,gini,,7,2,2,2
0.71,0.6741573033707865,0.29,10.452659482843977,entropy,,1,6,2,3
0.69,0.6804123711340206,0.31,11.173532550626316,gini,,15,14,2,4
0.66,0.6666666666666666,0.34,12.25484215229983,entropy,,15,2,2,5
0.7,0.7058823529411765,0.3,10.813096016735146,entropy,,15,2,2,6
0.78,0.8035714285714286,0.22,7.929603745605774,gini,,7,2,2,7
0.76,0.7735849056603774,0.24,8.650476813388115,entropy,,15,2,2,8
0.72,0.7021276595744681,0.28,10.092222948952802,entropy,,15,6,2,9
0.66,0.6530612244897959,0.34,12.254842152299835,entropy,,7,6,3,0
0.76,0.76,0.24,8.650476813388115,gini,,15,6,3,1
0.69,0.6666666666666666,0.31,11.17353255062632,entropy,,1,2,3,2
0.68,0.6190476190476191,0.32,11.53396908451749,gini,,7,6,3,3
0.75,0.7474747474747475,0.25,9.010913347279288,gini,,15,6,3,4
0.79,0.7640449438202247,0.21,7.5691672117146025,gini,,15,2,3,5
0.68,0.68,0.32,11.533969084517489,gini,,7,2,3,6
0.75,0.782608695652174,0.25,9.010913347279288,gini,,7,14,3,7
0.71,0.7184466019417476,0.29,10.452659482843973,entropy,,15,6,3,8
0.83,0.8131868131868132,0.17,6.127421076149916,gini,,15,2,3,9
0.74,0.74,0.26,9.37134988117046,gini,,15,6,4,0
0.66,0.6730769230769231,0.34,12.254842152299835,entropy,,15,2,4,1
0.7,0.6341463414634146,0.3,10.813096016735146,gini,,15,6,4,2
0.74,0.675,0.26,9.37134988117046,gini,,1,6,4,3
0.66,0.6382978723404256,0.34,12.254842152299835,gini,,7,2,4,4
0.73,0.7032967032967034,0.27,9.731786415061631,entropy,,15,6,4,5
0.71,0.7128712871287128,0.29,10.452659482843973,entropy,,1,6,4,6
0.69,0.7102803738317757,0.31,11.173532550626316,entropy,,1,2,4,7
0.69,0.6736842105263158,0.31,11.17353255062632,gini,,15,6,4,8
0.73,0.7157894736842105,0.27,9.731786415061631,gini,,15,6,4,9
0.76,0.7446808510638298,0.24,8.650476813388115,entropy,,7,14,5,0
0.72,0.7307692307692307,0.28,10.092222948952802,entropy,,7,2,5,1
0.74,0.723404255319149,0.26,9.371349881170458,gini,,15,2,5,2
0.66,0.6046511627906976,0.34,12.254842152299831,entropy,,7,2,5,3
0.69,0.7047619047619048,0.31,11.17353255062632,entropy,,15,2,5,4
0.74,0.7111111111111111,0.26,9.371349881170461,entropy,,15,2,5,5
0.72,0.7407407407407407,0.28,10.092222948952802,entropy,,15,2,5,6
0.69,0.7350427350427351,0.31,11.17353255062632,entropy,,1,2,5,7
0.72,0.7454545454545455,0.28,10.092222948952802,entropy,,1,2,5,8
0.62,0.5957446808510638,0.38,13.69658828786452,entropy,,15,2,5,9
0.71,0.7289719626168224,0.29,10.452659482843977,entropy,,15,14,6,0
0.67,0.6972477064220184,0.33,11.89440561840866,entropy,,7,2,6,1
0.67,0.6373626373626373,0.33,11.894405618408662,gini,,7,14,6,2
0.71,0.6588235294117647,0.29,10.452659482843973,entropy,,15,14,6,3
0.6,0.6078431372549019,0.4,14.417461355646862,entropy,,1,2,6,4
0.66,0.6304347826086957,0.34,12.254842152299831,gini,,15,14,6,5
0.79,0.8037383177570093,0.21,7.569167211714602,entropy,,15,14,6,6
0.66,0.6851851851851852,0.34,12.254842152299835,gini,,7,6,6,7
0.6,0.6296296296296297,0.4,14.417461355646862,entropy,,7,2,6,8
0.75,0.7058823529411765,0.25,9.010913347279288,gini,,15,6,6,9
0.64,0.6470588235294118,0.36,12.975715220082174,gini,,15,6,7,0
0.74,0.7346938775510204,0.26,9.37134988117046,gini,,15,14,7,1
0.67,0.6451612903225806,0.33,11.89440561840866,gini,,1,14,7,2
0.74,0.7045454545454546,0.26,9.37134988117046,gini,,15,2,7,3
0.79,0.7878787878787878,0.21,7.569167211714602,gini,,7,2,7,4
0.6,0.5833333333333334,0.4,14.41746135564686,gini,,7,14,7,5
0.76,0.7777777777777778,0.24,8.650476813388117,entropy,,1,6,7,6
0.7,0.7321428571428571,0.3,10.813096016735146,gini,,7,6,7,7
0.68,0.6444444444444445,0.32,11.53396908451749,entropy,,7,6,7,8
0.76,0.7551020408163265,0.24,8.650476813388115,gini,,15,6,7,9
0.77,0.7578947368421053,0.23,8.290040279496946,gini,,7,14,8,0
0.67,0.6796116504854369,0.33,11.894405618408664,gini,,15,2,8,1
0.7,0.6808510638297872,0.3,10.813096016735148,gini,sqrt,15,2,8,2
0.68,0.6666666666666666,0.32,11.533969084517489,entropy,,1,6,8,3
0.79,0.7692307692307693,0.21,7.569167211714602,gini,,15,2,8,4
0.69,0.6666666666666666,0.31,11.17353255062632,entropy,,7,2,8,5
0.73,0.7522935779816514,0.27,9.731786415061633,entropy,,1,2,8,6
0.77,0.7964601769911505,0.23,8.290040279496944,entropy,,15,2,8,7
0.74,0.75,0.26,9.37134988117046,entropy,,1,2,8,8
0.76,0.7,0.24,8.650476813388115,entropy,,1,6,8,9
0.7,0.7058823529411765,0.3,10.813096016735146,entropy,,1,14,9,0
0.76,0.7735849056603774,0.24,8.650476813388115,gini,,15,14,9,1
0.68,0.627906976744186,0.32,11.533969084517489,gini,,15,6,9,2
0.78,0.7555555555555555,0.22,7.929603745605774,entropy,,15,6,9,3
0.71,0.6419753086419753,0.29,10.452659482843973,gini,,15,2,9,4
0.69,0.6436781609195402,0.31,11.17353255062632,gini,,7,6,9,5
0.73,0.7522935779816514,0.27,9.73178641506163,gini,,15,6,9,6
0.67,0.6915887850467289,0.33,11.894405618408664,entropy,,15,2,9,7
0.65,0.6666666666666666,0.35,12.615278686191004,gini,,7,2,9,8
0.7,0.6875,0.3,10.813096016735145,entropy,,15,6,9,9
