accuracy,f1_score,brier_score,log_loss,criterion,max_features,min_samples_leaf,min_samples_split,repeat,fold
0.748,0.7459677419354839,0.252,9.083000654057523,gini,,15,14,0,0
0.752,0.7549407114624506,0.248,8.938826040501054,gini,,15,2,0,1
0.772,0.7634854771784232,0.228,8.217952972718711,gini,,15,2,0,2
0.756,0.7381974248927039,0.244,8.794651426944585,gini,,15,14,0,3
0.762,0.7586206896551724,0.238,8.57838950660988,gini,,15,14,0,4
0.744,0.7620817843866171,0.256,9.22717526761399,gini,,7,6,0,5
0.766,0.7577639751552795,0.234,8.434214893053413,entropy,,15,6,0,6
0.756,0.756,0.244,8.794651426944585,entropy,,7,6,0,7
0.78,0.7717842323651453,0.22,7.929603745605773,gini,,15,6,0,8
0.792,0.8059701492537313,0.208,7.497079904936368,gini,,15,2,0,9
0.746,0.7303609341825902,0.254,9.155087960835758,entropy,,1,14,1,0
0.79,0.7961165048543689,0.21,7.5691672117146025,gini,,15,14,1,1
0.718,0.6967741935483871,0.282,10.164310255731037,gini,,15,6,1,2
0.738,0.731006160164271,0.262,9.443437187948694,entropy,,15,6,1,3
0.74,0.74,0.26,9.37134988117046,gini,,15,2,1,4
0.706,0.7134502923976608,0.294,10.596834096400443,gini,,15,14,1,5
0.758,0.7584830339321357,0.242,8.722564120166352,gini,,15,6,1,6
0.732,0.73828125,0.268,9.659699108283396,entropy,,15,14,1,7
0.746,0.7337526205450734,0.254,9.155087960835758,entropy,,15,2,1,8
0.714,0.7317073170731707,0.286,10.308484869287506,gini,,7,14,1,9
0.748,0.7296137339055794,0.252,9.083000654057523,gini,,7,2,2,0
0.72,0.7222222222222222,0.28,10.092222948952804,entropy,,7,14,2,1
0.746,0.7257019438444925,0.254,9.155087960835758,gini,,15,2,2,2
0.708,0.688034188034188,0.292,10.524746789622208,gini,,15,2,2,3
0.748,0.7586206896551724,0.252,9.083000654057523,entropy,,15,14,2,4
0.74,0.7509578544061303,0.26,9.37134988117046,gini,,15,2,2,5
0.768,0.768,0.232,8.362127586275179,gini,,7,6,2,6
0.728,0.7322834645669292,0.272,9.803873721839865,entropy,,7,2,2,7
0.744,0.7366255144032922,0.256,9.22717526761399,entropy,,7,14,2,8
0.744,0.7611940298507462,0.256,9.227175267613989,gini,,15,14,2,9
0.75,0.7412008281573499,0.25,9.010913347279288,gini,,15,2,3,0
0.77,0.782608695652174,0.23,8.290040279496946,entropy,,7,6,3,1
0.768,0.7489177489177489,0.232,8.362127586275179,entropy,,15,2,3,2
0.73,0.7121535181236673,0.27,9.73178641506163,entropy,,15,14,3,3
0.738,0.7416173570019724,0.262,9.443437187948694,gini,,15,14,3,4
0.754,0.7657142857142857,0.246,8.86673873372282,gini,,15,14,3,5
0.77,0.7695390781563126,0.23,8.290040279496946,gini,,15,6,3,6
0.8,0.8084291187739464,0.2,7.20873067782343,gini,,15,6,3,7
0.742,0.7404426559356136,0.258,9.299262574392225,entropy,,15,2,3,8
0.692,0.7061068702290076,0.308,11.101445243848083,gini,,15,14,3,9
0.732,0.7196652719665272,0.268,9.659699108283398,gini,,15,2,4,0
0.754,0.7592954990215264,0.246,8.866738733722821,entropy,,7,14,4,1
0.748,0.7352941176470589,0.252,9.083000654057521,gini,,7,6,4,2
0.774,0.7621052631578947,0.226,8.145865665940477,entropy,,15,2,4,3
0.75,0.7524752475247525,0.25,9.010913347279288,entropy,,15,14,4,4
0.734,0.7485822306238186,0.266,9.587611801505162,gini,,15,14,4,5
0.788,0.7675438596491229,0.212,7.641254518492837,entropy,,7,2,4,6
0.716,0.7279693486590039,0.284,10.236397562509271,entropy,,1,2,4,7
0.764,0.7649402390438247,0.236,8.506302199831648,entropy,,15,2,4,8
0.768,0.7843866171003717,0.232,8.362127586275179,entropy,,15,6,4,9
0.736,0.7203389830508474,0.264,9.515524494726927,gini,,7,14,5,0
0.706,0.7123287671232876,0.294,10.596834096400443,gini,,15,14,5,1
0.796,0.7951807228915663,0.204,7.3529052913799,gini,,15,2,5,2
0.73,0.7109207708779444,0.27,9.731786415061631,entropy,,15,6,5,3
0.716,0.70042194092827,0.284,10.236397562509271,gini,,7,6,5,4
0.73,0.7408829174664108,0.27,9.73178641506163,gini,,15,6,5,5
0.744,0.7333333333333333,0.256,9.22717526761399,gini,,15,14,5,6
0.754,0.7700934579439253,0.246,8.86673873372282,gini,,15,14,5,7
0.718,0.7218934911242604,0.282,10.164310255731037,gini,,15,6,5,8
0.728,0.7472118959107806,0.272,9.803873721839864,entropy,,15,2,5,9
0.746,0.735966735966736,0.254,9.155087960835758,entropy,,15,14,6,0
0.772,0.7881040892193308,0.228,8.217952972718711,entropy,,15,2,6,1
0.778,0.7711340206185567,0.222,8.001691052384007,entropy,,15,14,6,2
0.746,0.7171492204899778,0.254,9.155087960835758,gini,,15,6,6,3
