accuracy,f1_score,brier_score,log_loss,C,repeat,fold
0.82,0.8163265306122449,0.18,6.487857610041087,0.001,0,0
0.79,0.7961165048543689,0.21,7.5691672117146025,0.001,0,1
0.78,0.7708333333333334,0.22,7.929603745605774,0.001,0,2
0.82,0.775,0.18,6.487857610041087,0.001,0,3
0.81,0.7956989247311828,0.19,6.848294143932259,0.001,0,4
0.74,0.7346938775510204,0.26,9.37134988117046,0.001,0,5
0.81,0.8256880733944955,0.19,6.848294143932259,0.001,0,6
0.81,0.8403361344537815,0.19,6.84829414393226,0.001,0,7
0.76,0.7818181818181819,0.24,8.650476813388117,0.001,0,8
0.79,0.7640449438202247,0.21,7.569167211714602,0.001,0,9
0.9,0.9038461538461539,0.1,3.604365338911715,0.001,1,0
0.81,0.822429906542056,0.19,6.84829414393226,0.001,1,1
0.83,0.8247422680412371,0.17,6.127421076149916,0.001,1,2
0.8,0.7674418604651163,0.2,7.20873067782343,0.001,1,3
0.8,0.782608695652174,0.2,7.20873067782343,0.001,1,4
0.79,0.7878787878787878,0.21,7.569167211714602,0.001,1,5
0.75,0.7706422018348624,0.25,9.010913347279288,0.001,1,6
0.84,0.8571428571428571,0.16,5.7669845422587445,0.001,1,7
0.8,0.8113207547169812,0.2,7.20873067782343,0.001,1,8
0.78,0.7380952380952381,0.22,7.929603745605773,0.001,1,9
0.82,0.8163265306122449,0.18,6.487857610041089,0.001,2,0
0.78,0.7843137254901961,0.22,7.929603745605773,0.001,2,1
0.81,0.8,0.19,6.848294143932259,0.001,2,2
0.78,0.7441860465116279,0.22,7.929603745605774,0.001,2,3
0.83,0.8316831683168316,0.17,6.127421076149916,0.001,2,4
0.84,0.8297872340425532,0.16,5.7669845422587445,0.001,2,5
0.85,0.8648648648648649,0.15,5.406548008367573,0.001,2,6
0.77,0.7964601769911505,0.23,8.290040279496944,0.001,2,7
0.75,0.7572815533980582,0.25,9.010913347279287,0.001,2,8
0.79,0.7741935483870968,0.21,7.5691672117146025,0.001,2,9
0.88,0.88,0.12,4.325238406694059,0.001,3,0
