accuracy,f1_score,brier_score,log_loss,C,repeat,fold
0.85,0.8421052631578947,0.15,5.406548008367573,10.0,0,0
0.65,0.5882352941176471,0.35,12.615278686191001,0.1,0,1
0.65,0.631578947368421,0.35,12.615278686191004,0.1,0,2
0.75,0.7619047619047619,0.25,9.010913347279288,1.0,0,3
0.75,0.7368421052631579,0.25,9.010913347279288,0.1,0,4
0.75,0.782608695652174,0.25,9.010913347279288,10.0,0,5
0.85,0.8421052631578947,0.15,5.406548008367573,0.1,0,6
0.9,0.875,0.1,3.604365338911715,0.1,0,7
0.7,0.7272727272727273,0.3,10.813096016735146,0.1,0,8
0.7,0.7272727272727273,0.3,10.813096016735145,0.1,0,9
0.75,0.7619047619047619,0.25,9.010913347279288,0.1,1,0
0.85,0.8,0.15,5.406548008367573,0.1,1,1
0.8,0.8,0.2,7.20873067782343,0.1,1,2
0.8,0.8,0.2,7.20873067782343,0.1,1,3
0.95,0.9411764705882353,0.05,1.8021826694558576,0.1,1,4
0.7,0.7272727272727273,0.3,10.813096016735145,0.1,1,5
0.85,0.8421052631578947,0.15,5.406548008367573,0.1,1,6
0.7,0.7,0.3,10.813096016735145,1.0,1,7
0.8,0.8,0.2,7.20873067782343,1.0,1,8
0.55,0.5263157894736842,0.45,16.219644025102717,0.1,1,9
0.65,0.5882352941176471,0.35,12.615278686191004,0.1,2,0
0.75,0.7619047619047619,0.25,9.010913347279288,0.1,2,1
0.8,0.7777777777777778,0.2,7.20873067782343,0.1,2,2
0.75,0.7619047619047619,0.25,9.010913347279288,0.1,2,3
0.7,0.6666666666666666,0.3,10.813096016735146,1.0,2,4
0.55,0.6086956521739131,0.45,16.219644025102717,1.0,2,5
1.0,1.0,0.0,2.220446049250313e-16,0.1,2,6
0.85,0.8,0.15,5.406548008367573,0.1,2,7
0.65,0.6956521739130435,0.35,12.615278686191001,0.1,2,8
0.7,0.7,0.3,10.813096016735145,10.0,2,9
0.9,0.9090909090909091,0.1,3.604365338911715,0.1,3,0
0.75,0.7368421052631579,0.25,9.010913347279288,0.1,3,1
0.65,0.6666666666666666,0.35,12.615278686191001,0.1,3,2
0.6,0.6,0.4,14.417461355646859,0.1,3,3
0.85,0.8235294117647058,0.15,5.406548008367573,0.1,3,4
