accuracy,f1_score,brier_score,log_loss,criterion,max_features,min_samples_leaf,min_samples_split,repeat,fold
0.715,0.7046632124352331,0.285,10.27244121589839,entropy,,15,2,0,0
0.75,0.7474747474747475,0.25,9.010913347279288,gini,,15,6,0,1
0.73,0.7378640776699029,0.27,9.731786415061631,entropy,,7,2,0,2
0.645,0.6120218579234973,0.355,12.79549695313659,gini,,7,2,0,3
0.775,0.7906976744186046,0.225,8.109822012551358,entropy,,7,2,0,4
0.675,0.7031963470319634,0.325,11.714187351463075,entropy,,15,14,0,5
0.67,0.6944444444444444,0.33,11.89440561840866,entropy,,15,6,0,6
0.71,0.7010309278350515,0.29,10.452659482843973,entropy,,15,2,0,7
0.675,0.6766169154228856,0.325,11.714187351463075,gini,,15,6,0,8
0.77,0.7766990291262136,0.23,8.290040279496946,entropy,,1,2,0,9
0.765,0.7661691542288557,0.235,8.47025854644253,gini,,15,6,1,0
0.705,0.6974358974358974,0.295,10.632877749789559,entropy,,1,14,1,1
0.735,0.7464114832535885,0.265,9.551568148116045,gini,,15,2,1,2
0.655,0.6424870466321243,0.345,12.435060419245417,entropy,,15,2,1,3
0.73,0.7272727272727273,0.27,9.731786415061631,entropy,,15,6,1,4
0.74,0.7346938775510204,0.26,9.371349881170458,entropy,,1,14,1,5
0.78,0.7843137254901961,0.22,7.929603745605773,entropy,,7,2,1,6
0.725,0.7120418848167539,0.275,9.912004682007217,entropy,,1,6,1,7
0.785,0.7650273224043715,0.215,7.749385478660188,entropy,,1,2,1,8
0.75,0.788135593220339,0.25,9.010913347279288,entropy,,7,14,1,9
0.73,0.71875,0.27,9.731786415061631,gini,,15,14,2,0
0.77,0.7870370370370371,0.23,8.290040279496946,entropy,,15,14,2,1
0.785,0.7772020725388601,0.215,7.749385478660188,gini,,15,14,2,2
0.735,0.7464114832535885,0.265,9.551568148116045,entropy,,15,2,2,3
0.72,0.7227722772277227,0.28,10.092222948952802,gini,,15,2,2,4
0.71,0.7040816326530612,0.29,10.452659482843973,entropy,,7,14,2,5
0.71,0.7128712871287128,0.29,10.452659482843973,entropy,,7,2,2,6
0.705,0.6775956284153005,0.295,10.632877749789559,entropy,,15,6,2,7
0.715,0.6779661016949152,0.285,10.27244121589839,entropy,,15,2,2,8
0.68,0.68,0.32,11.533969084517489,gini,,7,2,2,9
0.755,0.7632850241545893,0.245,8.830695080333703,entropy,,15,2,3,0
0.755,0.7699530516431925,0.245,8.830695080333703,entropy,,15,6,3,1
0.75,0.7311827956989247,0.25,9.010913347279288,gini,,15,14,3,2
0.665,0.6598984771573604,0.335,12.074623885354244,gini,,7,14,3,3
0.695,0.7162790697674418,0.305,10.993314283680732,gini,,7,6,3,4
0.745,0.7329842931937173,0.255,9.191131614224874,entropy,,15,6,3,5
0.73,0.7157894736842105,0.27,9.731786415061631,gini,,1,14,3,6
0.68,0.68,0.32,11.533969084517489,entropy,,15,14,3,7
0.71,0.7184466019417476,0.29,10.452659482843973,gini,,1,14,3,8
0.7,0.6842105263157895,0.3,10.813096016735145,entropy,,15,14,3,9
0.72,0.711340206185567,0.28,10.092222948952802,entropy,,15,6,4,0
0.72,0.7021276595744681,0.28,10.092222948952804,entropy,,7,6,4,1
0.75,0.7641509433962265,0.25,9.010913347279288,entropy,,1,6,4,2
0.705,0.714975845410628,0.295,10.632877749789559,gini,,7,6,4,3
0.7,0.7087378640776699,0.3,10.813096016735145,gini,,15,14,4,4
0.72,0.711340206185567,0.28,10.092222948952802,gini,,7,2,4,5
0.765,0.7614213197969543,0.235,8.47025854644253,gini,,7,2,4,6
0.69,0.6736842105263158,0.31,11.173532550626316,gini,,15,14,4,7
0.755,0.7802690582959642,0.245,8.830695080333703,gini,,15,2,4,8
0.715,0.7164179104477612,0.285,10.27244121589839,entropy,,7,2,4,9
0.675,0.6700507614213198,0.325,11.714187351463075,gini,,15,2,5,0
0.695,0.6737967914438503,0.305,10.993314283680732,entropy,,7,14,5,1
0.78,0.7608695652173914,0.22,7.929603745605773,gini,,15,2,5,2
0.72,0.7281553398058253,0.28,10.092222948952804,gini,,15,14,5,3
0.68,0.68,0.32,11.533969084517489,entropy,,7,2,5,4
0.735,0.7071823204419889,0.265,9.551568148116045,gini,,15,2,5,5
0.735,0.7309644670050761,0.265,9.551568148116045,entropy,sqrt,15,2,5,6
0.69,0.6770833333333334,0.31,11.17353255062632,entropy,,15,6,5,7
0.725,0.751131221719457,0.275,9.912004682007217,entropy,,15,6,5,8
0.765,0.7751196172248804,0.235,8.47025854644253,entropy,,7,6,5,9
0.73,0.7272727272727273,0.27,9.731786415061631,entropy,,15,14,6,0
0.74,0.7373737373737373,0.26,9.37134988117046,entropy,,1,14,6,1
0.7,0.6875,0.3,10.813096016735146,entropy,,1,2,6,2
0.745,0.7411167512690355,0.255,9.191131614224874,entropy,,7,14,6,3
0.75,0.7422680412371134,0.25,9.010913347279287,gini,,15,2,6,4
0.68,0.7217391304347827,0.32,11.533969084517489,gini,,15,2,6,5
0.67,0.6526315789473685,0.33,11.89440561840866,gini,,15,14,6,6
0.725,0.7208121827411168,0.275,9.912004682007217,entropy,,1,2,6,7
0.695,0.655367231638418,0.305,10.993314283680732,entropy,,7,14,6,8
0.725,0.7208121827411168,0.275,9.912004682007217,entropy,,15,2,6,9
0.61,0.6060606060606061,0.39,14.05702482175569,gini,,15,2,7,0
0.765,0.7589743589743589,0.235,8.47025854644253,gini,,15,2,7,1
0.67,0.6292134831460674,0.33,11.89440561840866,entropy,,15,6,7,2
0.68,0.6862745098039216,0.32,11.533969084517489,gini,,15,2,7,3
0.69,0.6593406593406593,0.31,11.17353255062632,gini,,7,14,7,4
0.73,0.7452830188679245,0.27,9.731786415061631,entropy,,15,6,7,5
0.715,0.6918918918918919,0.285,10.27244121589839,entropy,,7,2,7,6
0.7,0.7222222222222222,0.3,10.813096016735146,entropy,sqrt,7,6,7,7
0.73,0.7216494845360825,0.27,9.731786415061631,entropy,,7,14,7,8
0.645,0.6358974358974359,0.355,12.79549695313659,entropy,,7,14,7,9
0.73,0.6931818181818182,0.27,9.731786415061631,gini,,7,6,8,0
0.63,0.63,0.37,13.336151753973345,entropy,,15,6,8,1
0.69,0.693069306930693,0.31,11.173532550626316,entropy,sqrt,15,6,8,2
0.765,0.7251461988304093,0.235,8.47025854644253,entropy,,15,6,8,3
0.705,0.6740331491712708,0.295,10.632877749789559,entropy,,7,14,8,4
0.745,0.751219512195122,0.255,9.191131614224874,entropy,,15,2,8,5
0.73,0.7272727272727273,0.27,9.731786415061631,gini,,15,14,8,6
0.74,0.7657657657657657,0.26,9.371349881170458,entropy,,1,6,8,7
0.745,0.7536231884057971,0.255,9.191131614224874,gini,,7,2,8,8
0.765,0.7793427230046949,0.235,8.47025854644253,gini,,15,14,8,9
0.73,0.73,0.27,9.731786415061631,gini,,7,2,9,0
0.71,0.6979166666666666,0.29,10.452659482843973,gini,,7,2,9,1
0.735,0.7282051282051282,0.265,9.551568148116045,gini,,15,2,9,2
0.7,0.7115384615384616,0.3,10.813096016735145,gini,,15,2,9,3
0.685,0.6926829268292682,0.315,11.353750817571903,entropy,,15,2,9,4
0.785,0.7902439024390244,0.215,7.749385478660188,entropy,,15,6,9,5
