accuracy,f1_score,brier_score,log_loss,criterion,max_features,min_samples_leaf,min_samples_split,repeat,fold
0.751,0.7419689119170985,0.249,8.97486969389017,entropy,,15,6,0,0
0.785,0.7856430707876371,0.215,7.749385478660188,gini,,15,2,0,1
0.753,0.7613526570048309,0.247,8.902782387111936,gini,,15,2,0,2
0.758,0.7627450980392156,0.242,8.722564120166352,gini,,7,2,0,3
0.748,0.7485029940119761,0.252,9.083000654057523,gini,,15,6,0,4
0.787,0.7810894141829393,0.213,7.677298171881953,gini,,15,6,0,5
0.759,0.7553299492385787,0.241,8.686520466777234,gini,,15,6,0,6
0.786,0.7914230019493177,0.214,7.713341825271071,gini,,15,14,0,7
0.746,0.7397540983606558,0.254,9.155087960835758,gini,,15,2,0,8
0.753,0.7440414507772021,0.247,8.902782387111936,gini,,15,6,0,9
0.755,0.7576656775469832,0.245,8.830695080333703,entropy,,15,2,1,0
0.756,0.7555110220440882,0.244,8.794651426944585,entropy,,15,2,1,1
0.785,0.7942583732057417,0.215,7.749385478660188,entropy,,15,6,1,2
0.755,0.7522750252780587,0.245,8.830695080333703,gini,,15,2,1,3
0.752,0.7484787018255578,0.248,8.938826040501054,gini,,7,2,1,4
0.757,0.7522935779816514,0.243,8.758607773555468,gini,,15,6,1,5
0.775,0.7809152872444012,0.225,8.109822012551358,entropy,,15,2,1,6
0.776,0.7718940936863544,0.224,8.073778359162242,entropy,,15,2,1,7
0.786,0.7820773930753564,0.214,7.713341825271071,entropy,,15,2,1,8
0.752,0.7582846003898636,0.248,8.938826040501054,gini,,15,6,1,9
0.766,0.7577639751552795,0.234,8.434214893053413,gini,,15,2,2,0
0.78,0.7755102040816326,0.22,7.929603745605774,entropy,,15,2,2,1
0.803,0.8051434223541049,0.197,7.100599717656079,gini,,15,6,2,2
0.771,0.767983789260385,0.229,8.253996626107828,gini,,15,6,2,3
0.755,0.7712418300653595,0.245,8.830695080333703,gini,,15,14,2,4
0.758,0.7599206349206349,0.242,8.722564120166352,gini,,15,2,2,5
0.764,0.764,0.236,8.506302199831648,gini,,15,2,2,6
0.763,0.7538940809968847,0.237,8.542345853220766,gini,,15,6,2,7
0.771,0.7770204479065238,0.229,8.253996626107828,entropy,,15,14,2,8
0.775,0.7765640516385303,0.225,8.109822012551358,gini,,15,6,2,9
0.776,0.7790927021696252,0.224,8.073778359162242,entropy,,15,2,3,0
0.781,0.7807807807807807,0.219,7.8935600922166556,gini,,15,6,3,1
0.755,0.7527749747729566,0.245,8.830695080333703,entropy,,15,2,3,2
0.751,0.7565982404692082,0.249,8.97486969389017,gini,,15,6,3,3
0.754,0.7442827442827443,0.246,8.86673873372282,gini,,15,2,3,4
0.77,0.7628865979381443,0.23,8.290040279496946,entropy,,15,2,3,5
0.793,0.7898477157360406,0.207,7.46103625154725,gini,,15,6,3,6
0.748,0.754863813229572,0.252,9.083000654057521,entropy,,15,14,3,7
0.758,0.7570281124497992,0.242,8.722564120166352,gini,,15,14,3,8
0.748,0.7581573896353166,0.252,9.083000654057523,entropy,,15,6,3,9
0.758,0.7594433399602386,0.242,8.722564120166352,gini,,15,14,4,0
0.779,0.7695516162669447,0.221,7.965647398994891,entropy,,15,14,4,1
0.765,0.7584789311408017,0.235,8.47025854644253,entropy,,15,14,4,2
0.771,0.7607105538140021,0.229,8.253996626107828,gini,,15,6,4,3
0.765,0.7729468599033816,0.235,8.470258546442532,entropy,,1,2,4,4
0.765,0.7652347652347652,0.235,8.470258546442532,gini,,15,14,4,5
0.766,0.7631578947368421,0.234,8.434214893053413,gini,,15,14,4,6
0.778,0.783203125,0.222,8.001691052384007,gini,,15,2,4,7
0.76,0.7614314115308151,0.24,8.650476813388115,gini,,15,14,4,8
0.76,0.7722960151802657,0.24,8.650476813388117,gini,,15,6,4,9
0.739,0.7382146439317954,0.261,9.407393534559578,entropy,,15,2,5,0
0.775,0.7706422018348624,0.225,8.10982201255136,gini,,15,14,5,1
0.772,0.7820267686424475,0.228,8.217952972718711,gini,,15,6,5,2
0.779,0.7787787787787788,0.221,7.965647398994892,gini,,15,14,5,3
0.747,0.7467467467467468,0.253,9.11904430744664,gini,,15,6,5,4
0.786,0.7842741935483871,0.214,7.713341825271071,gini,,15,2,5,5
0.764,0.766798418972332,0.236,8.506302199831648,entropy,,15,2,5,6
0.778,0.7917448405253283,0.222,8.001691052384007,entropy,,15,6,5,7
0.761,0.7563710499490316,0.239,8.614433159999,gini,,15,6,5,8
0.763,0.7627627627627628,0.237,8.542345853220764,gini,,15,6,5,9
0.763,0.7651139742319127,0.237,8.542345853220766,gini,,15,2,6,0
0.782,0.7858546168958742,0.218,7.857516438827539,gini,,15,14,6,1
0.771,0.7651282051282051,0.229,8.253996626107828,gini,,15,14,6,2
0.765,0.7584789311408017,0.235,8.47025854644253,gini,,15,14,6,3
0.783,0.792741165234002,0.217,7.821472785438422,gini,,15,14,6,4
0.755,0.7471620227038184,0.245,8.830695080333703,gini,,15,14,6,5
0.779,0.7818361303060217,0.221,7.965647398994891,gini,,15,6,6,6
0.769,0.7683049147442327,0.231,8.326083932886062,gini,,15,14,6,7
0.763,0.7678746327130265,0.237,8.542345853220766,gini,,15,6,6,8
0.757,0.7557788944723618,0.243,8.758607773555468,gini,,15,6,6,9
