accuracy,f1_score,brier_score,log_loss,C,repeat,fold
0.818,0.8108108108108109,0.182,6.559944916819322,0.001,0,0
0.766,0.7762906309751434,0.234,8.434214893053413,0.001,0,1
0.808,0.7913043478260869,0.192,6.920381450710493,0.001,0,2
0.792,0.7777777777777778,0.208,7.497079904936368,0.001,0,3
0.82,0.8192771084337349,0.18,6.487857610041088,0.001,0,4
0.786,0.7961904761904762,0.214,7.713341825271071,0.001,0,5
0.842,0.8350730688935282,0.158,5.69489723548051,0.001,0,6
0.796,0.8053435114503816,0.204,7.352905291379899,0.001,0,7
0.834,0.8356435643564356,0.166,5.983246462593447,0.001,0,8
0.83,0.839924670433145,0.17,6.127421076149917,0.01,0,9
0.836,0.8284518828451883,0.164,5.911159155815213,0.001,1,0
0.812,0.8127490039840638,0.188,6.7762068371540245,0.001,1,1
0.806,0.7940552016985138,0.194,6.992468757488727,0.001,1,2
0.76,0.7530864197530864,0.24,8.650476813388115,0.001,1,3
0.774,0.772635814889336,0.226,8.145865665940477,0.001,1,4
0.786,0.7961904761904762,0.214,7.713341825271071,0.001,1,5
0.814,0.8058455114822547,0.186,6.704119530375791,0.001,1,6
0.834,0.839458413926499,0.166,5.983246462593447,0.001,1,7
0.804,0.8024193548387096,0.196,7.064556064266963,0.001,1,8
0.84,0.8540145985401459,0.16,5.7669845422587445,0.001,1,9
0.812,0.8057851239669421,0.188,6.7762068371540245,0.001,2,0
0.788,0.79296875,0.212,7.641254518492836,0.001,2,1
0.79,0.7770700636942676,0.21,7.5691672117146025,0.001,2,2
0.812,0.7956521739130434,0.188,6.7762068371540245,0.001,2,3
0.806,0.8152380952380952,0.194,6.9924687574887265,0.001,2,4
0.836,0.842911877394636,0.164,5.911159155815213,0.001,2,5
0.814,0.8098159509202454,0.186,6.704119530375791,0.001,2,6
0.816,0.8244274809160306,0.184,6.632032223597556,0.001,2,7
0.806,0.8016359918200409,0.194,6.992468757488728,0.001,2,8
0.786,0.8,0.214,7.713341825271071,0.001,2,9
0.804,0.7975206611570248,0.196,7.064556064266961,0.001,3,0
0.82,0.8275862068965517,0.18,6.487857610041088,0.001,3,1
