accuracy,f1_score,brier_score,log_loss,C,repeat,fold
0.803,0.7995930824008138,0.197,7.1005997176560784,0.001,0,0
0.817,0.8221574344023324,0.183,6.59598857020844,0.001,0,1
0.79,0.799618320610687,0.21,7.569167211714602,0.001,0,2
0.815,0.8148148148148148,0.185,6.6680758769866735,0.001,0,3
0.804,0.8004073319755601,0.196,7.064556064266961,0.001,0,4
0.806,0.7995867768595041,0.194,6.992468757488727,0.001,0,5
0.818,0.8150406504065041,0.182,6.559944916819322,0.001,0,6
0.823,0.8279883381924198,0.177,6.379726649873736,0.001,0,7
0.809,0.8107036669970268,0.191,6.8843377973213755,0.001,0,8
0.804,0.8,0.196,7.064556064266961,0.001,0,9
0.796,0.7984189723320159,0.204,7.352905291379899,0.001,1,0
0.807,0.8105986261040236,0.193,6.95642510409961,0.001,1,1
0.809,0.8121927236971485,0.191,6.884337797321376,0.001,1,2
0.81,0.8073022312373225,0.19,6.848294143932259,0.001,1,3
0.796,0.7909836065573771,0.204,7.352905291379899,0.001,1,4
0.81,0.8024948024948025,0.19,6.848294143932259,0.001,1,5
0.821,0.8232971372161896,0.179,6.4518139566519705,0.01,1,6
0.813,0.8131868131868132,0.187,6.740163183764907,0.001,1,7
0.812,0.8104838709677419,0.188,6.7762068371540245,0.001,1,8
0.815,0.8188050930460333,0.185,6.6680758769866735,0.001,1,9
0.809,0.8008342022940563,0.191,6.8843377973213755,0.001,2,0
0.831,0.829465186680121,0.169,6.091377422760799,0.001,2,1
0.817,0.8211143695014663,0.183,6.59598857020844,0.001,2,2
0.82,0.8203592814371258,0.18,6.487857610041086,0.001,2,3
0.794,0.8049242424242424,0.206,7.424992598158133,0.001,2,4
0.793,0.7980487804878049,0.207,7.461036251547251,0.001,2,5
0.806,0.7987551867219918,0.194,6.992468757488727,0.001,2,6
0.789,0.7844739530132788,0.211,7.605210865103718,0.001,2,7
0.831,0.8354430379746836,0.169,6.091377422760799,0.001,2,8
0.808,0.8095238095238095,0.192,6.920381450710494,0.001,2,9
0.826,0.8287401574803149,0.174,6.271595689706384,0.001,3,0
0.8,0.801980198019802,0.2,7.20873067782343,0.001,3,1
0.807,0.8090999010880316,0.193,6.95642510409961,0.001,3,2
0.797,0.8019512195121952,0.203,7.316861637990782,0.001,3,3
0.816,0.811088295687885,0.184,6.632032223597556,0.001,3,4
0.837,0.8310880829015544,0.163,5.875115502426096,0.001,3,5
0.823,0.8180883864337102,0.177,6.379726649873736,0.001,3,6
0.802,0.8051181102362205,0.198,7.136643371045197,0.001,3,7
0.786,0.7811860940695297,0.214,7.713341825271071,0.001,3,8
0.802,0.8099808061420346,0.198,7.136643371045196,0.001,3,9
0.818,0.818,0.182,6.5599449168193225,0.001,4,0
0.806,0.8012295081967213,0.194,6.992468757488727,0.001,4,1
0.817,0.8160804020100503,0.183,6.595988570208439,0.001,4,2
0.813,0.8113017154389506,0.187,6.740163183764907,0.001,4,3
0.806,0.8123791102514507,0.194,6.992468757488727,0.001,4,4
0.806,0.806,0.194,6.992468757488728,0.001,4,5
0.812,0.8093306288032455,0.188,6.7762068371540245,0.001,4,6
0.783,0.7827827827827828,0.217,7.821472785438422,0.001,4,7
0.82,0.8167006109979633,0.18,6.487857610041088,0.001,4,8
0.813,0.8244131455399061,0.187,6.740163183764907,0.001,4,9
0.823,0.8195718654434251,0.177,6.379726649873736,0.001,5,0
0.808,0.8016528925619835,0.192,6.920381450710495,0.001,5,1
0.815,0.8275862068965517,0.185,6.6680758769866735,0.001,5,2
0.827,0.8250758341759353,0.173,6.235552036317268,0.001,5,3
0.781,0.7807807807807807,0.219,7.8935600922166556,0.001,5,4
0.803,0.7995930824008138,0.197,7.100599717656079,0.001,5,5
0.796,0.793939393939394,0.204,7.352905291379899,0.01,5,6
0.831,0.8392007611798288,0.169,6.091377422760799,0.001,5,7
0.802,0.7967145790554415,0.198,7.136643371045197,0.001,5,8
0.806,0.807920792079208,0.194,6.992468757488727,0.001,5,9
0.822,0.8244575936883629,0.178,6.415770303262853,0.001,6,0
0.82,0.8228346456692913,0.18,6.487857610041087,0.001,6,1
0.816,0.8126272912423625,0.184,6.632032223597556,0.001,6,2
0.807,0.8060301507537688,0.193,6.956425104099609,0.001,6,3
0.801,0.8047105004906772,0.199,7.172687024434314,0.001,6,4
0.819,0.8147389969293757,0.181,6.523901263430204,0.001,6,5
0.798,0.7963709677419355,0.202,7.280817984601665,0.001,6,6
0.807,0.8102261553588987,0.193,6.95642510409961,0.01,6,7
0.806,0.8086785009861933,0.194,6.992468757488727,0.001,6,8
0.798,0.798,0.202,7.280817984601665,0.001,6,9
0.829,0.8311944718657454,0.171,6.163464729539033,0.001,7,0
0.803,0.799184505606524,0.197,7.1005997176560784,0.001,7,1
0.807,0.8090999010880316,0.193,6.95642510409961,0.001,7,2
0.796,0.7951807228915663,0.204,7.352905291379899,0.001,7,3
0.837,0.8428158148505304,0.163,5.8751155024260955,0.001,7,4
0.81,0.8049281314168378,0.19,6.848294143932258,0.001,7,5
0.804,0.807843137254902,0.196,7.064556064266961,0.001,7,6
0.814,0.8225190839694656,0.186,6.704119530375791,0.001,7,7
0.805,0.7958115183246073,0.195,7.028512410877846,0.001,7,8
0.797,0.7939086294416243,0.203,7.316861637990781,0.001,7,9
0.787,0.7977207977207977,0.213,7.6772981718819535,0.001,8,0
0.807,0.805247225025227,0.193,6.95642510409961,0.001,8,1
0.806,0.8071570576540755,0.194,6.992468757488728,0.001,8,2
0.817,0.8123076923076923,0.183,6.59598857020844,0.001,8,3
0.813,0.8109201213346815,0.187,6.740163183764907,0.001,8,4
0.803,0.8074291300097751,0.197,7.1005997176560784,0.001,8,5
0.806,0.8075396825396826,0.194,6.992468757488727,0.001,8,6
0.843,0.8450148075024679,0.157,5.658853582091393,0.001,8,7
0.812,0.8185328185328186,0.188,6.7762068371540245,0.001,8,8
