accuracy,f1_score,brier_score,log_loss,criterion,max_features,min_samples_leaf,min_samples_split,n_estimators,repeat,fold
0.8,0.7777777777777778,0.2,7.20873067782343,gini,log2,10,2,100,0,0
0.7,0.625,0.3,10.813096016735145,entropy,log2,1,2,200,0,1
0.75,0.6666666666666666,0.25,9.010913347279288,gini,sqrt,1,2,200,0,2
0.9,0.9,0.1,3.604365338911715,entropy,log2,1,10,100,0,3
0.85,0.8,0.15,5.406548008367573,entropy,log2,1,2,100,0,4
0.85,0.8571428571428571,0.15,5.406548008367573,entropy,log2,1,10,200,0,5
0.95,0.9473684210526315,0.05,1.8021826694558576,entropy,log2,10,10,200,0,6
0.95,0.9333333333333333,0.05,1.8021826694558576,entropy,sqrt,10,10,200,0,7
0.75,0.782608695652174,0.25,9.010913347279288,entropy,sqrt,1,2,200,0,8
0.75,0.782608695652174,0.25,9.010913347279288,entropy,log2,10,2,100,0,9
0.7,0.6666666666666666,0.3,10.813096016735145,gini,sqrt,1,2,100,1,0
0.75,0.7368421052631579,0.25,9.010913347279288,entropy,log2,1,10,100,1,1
0.8,0.7777777777777778,0.2,7.20873067782343,entropy,log2,1,2,100,1,2
0.85,0.8421052631578947,0.15,5.406548008367573,entropy,sqrt,1,10,100,1,3
0.9,0.875,0.1,3.604365338911715,gini,log2,10,10,200,1,4
0.65,0.6666666666666666,0.35,12.615278686191001,gini,log2,1,2,100,1,5
0.8,0.8,0.2,7.20873067782343,entropy,log2,1,2,200,1,6
0.7,0.6666666666666666,0.3,10.813096016735145,gini,sqrt,1,2,200,1,7
0.95,0.9523809523809523,0.05,1.8021826694558576,entropy,sqrt,10,10,200,1,8
0.7,0.6666666666666666,0.3,10.813096016735145,gini,log2,1,2,200,1,9
0.7,0.6666666666666666,0.3,10.813096016735145,gini,sqrt,1,2,200,2,0
0.55,0.5263157894736842,0.45,16.219644025102717,gini,sqrt,1,2,200,2,1
0.8,0.75,0.2,7.20873067782343,gini,sqrt,1,2,200,2,2
0.8,0.8,0.2,7.20873067782343,gini,sqrt,1,10,100,2,3
0.8,0.7777777777777778,0.2,7.20873067782343,gini,sqrt,1,2,200,2,4
0.6,0.6666666666666666,0.4,14.41746135564686,gini,sqrt,1,2,200,2,5
0.8,0.7777777777777778,0.2,7.20873067782343,gini,log2,1,10,100,2,6
0.75,0.7058823529411765,0.25,9.010913347279288,gini,log2,1,10,100,2,7
0.55,0.5263157894736842,0.45,16.219644025102717,gini,sqrt,1,2,200,2,8
0.85,0.8421052631578947,0.15,5.406548008367573,entropy,log2,1,2,100,2,9
0.8,0.8,0.2,7.20873067782343,entropy,sqrt,1,10,100,3,0
0.85,0.8421052631578947,0.15,5.406548008367573,entropy,log2,1,10,200,3,1
0.7,0.7272727272727273,0.3,10.813096016735145,entropy,sqrt,1,10,200,3,2
0.6,0.5555555555555556,0.4,14.417461355646859,gini,sqrt,1,10,100,3,3
0.8,0.7142857142857143,0.2,7.20873067782343,entropy,sqrt,1,10,100,3,4
0.8,0.8,0.2,7.20873067782343,entropy,sqrt,1,2,200,3,5
0.7,0.6666666666666666,0.3,10.813096016735145,entropy,sqrt,1,2,200,3,6
0.8,0.75,0.2,7.20873067782343,gini,log2,1,2,200,3,7
0.8,0.8181818181818182,0.2,7.20873067782343,entropy,log2,10,2,200,3,8
0.75,0.7368421052631579,0.25,9.010913347279288,entropy,sqrt,1,2,200,3,9
0.8,0.75,0.2,7.20873067782343,gini,sqrt,1,2,100,4,0
0.75,0.7058823529411765,0.25,9.010913347279288,entropy,log2,1,10,200,4,1
0.75,0.7619047619047619,0.25,9.010913347279288,entropy,log2,1,10,100,4,2
0.7,0.7,0.3,10.813096016735145,entropy,log2,1,10,100,4,3
0.7,0.625,0.3,10.813096016735145,gini,log2,1,2,200,4,4
0.7,0.75,0.3,10.813096016735145,entropy,log2,1,10,200,4,5
0.9,0.9,0.1,3.604365338911715,entropy,log2,10,2,100,4,6
0.65,0.631578947368421,0.35,12.615278686191004,entropy,sqrt,10,10,200,4,7
0.8,0.8,0.2,7.20873067782343,entropy,sqrt,1,10,100,4,8
0.8,0.7777777777777778,0.2,7.20873067782343,entropy,log2,1,2,100,4,9
0.8,0.7777777777777778,0.2,7.20873067782343,gini,sqrt,1,2,100,5,0
0.85,0.8,0.15,5.406548008367573,gini,sqrt,1,2,200,5,1
0.8,0.8,0.2,7.20873067782343,gini,sqrt,1,10,100,5,2
0.7,0.6666666666666666,0.3,10.813096016735145,entropy,sqrt,1,10,200,5,3
0.65,0.631578947368421,0.35,12.615278686191004,gini,log2,1,2,200,5,4
0.85,0.8571428571428571,0.15,5.406548008367573,gini,sqrt,10,2,200,5,5
0.6,0.6666666666666666,0.4,14.41746135564686,entropy,log2,1,2,200,5,6
0.7,0.625,0.3,10.813096016735145,gini,sqrt,1,10,200,5,7
0.95,0.9565217391304348,0.05,1.8021826694558576,entropy,log2,1,2,200,5,8
0.7,0.6666666666666666,0.3,10.813096016735145,gini,sqrt,1,2,200,5,9
0.6,0.5,0.4,14.41746135564686,entropy,sqrt,1,2,100,6,0
0.7,0.5714285714285714,0.3,10.813096016735145,gini,sqrt,10,2,200,6,1
0.7,0.7,0.3,10.813096016735145,gini,sqrt,10,2,100,6,2
0.8,0.8,0.2,7.20873067782343,entropy,log2,10,10,200,6,3
0.85,0.8235294117647058,0.15,5.406548008367573,entropy,sqrt,1,2,100,6,4
0.95,0.9523809523809523,0.05,1.802182669455858,entropy,log2,1,2,100,6,5
0.7,0.6666666666666666,0.3,10.813096016735145,entropy,log2,1,2,100,6,6
0.85,0.8,0.15,5.406548008367573,gini,log2,1,10,200,6,7
0.8,0.7777777777777778,0.2,7.20873067782343,entropy,log2,1,10,100,6,8
0.8,0.8,0.2,7.20873067782343,entropy,log2,10,2,100,6,9
0.7,0.6666666666666666,0.3,10.813096016735146,entropy,sqrt,1,2,200,7,0
0.6,0.5,0.4,14.417461355646859,gini,sqrt,1,2,200,7,1
0.7,0.6666666666666666,0.3,10.813096016735145,entropy,log2,1,2,100,7,2
0.75,0.7619047619047619,0.25,9.010913347279288,gini,log2,1,2,200,7,3
0.75,0.7058823529411765,0.25,9.010913347279288,entropy,sqrt,1,2,200,7,4
0.75,0.7368421052631579,0.25,9.010913347279288,entropy,log2,1,2,200,7,5
0.75,0.7058823529411765,0.25,9.010913347279288,entropy,sqrt,1,2,200,7,6
0.8,0.7142857142857143,0.2,7.20873067782343,gini,sqrt,1,2,200,7,7
0.8,0.8181818181818182,0.2,7.20873067782343,gini,log2,1,2,200,7,8
0.85,0.8421052631578947,0.15,5.406548008367573,gini,sqrt,1,2,200,7,9
0.8,0.8,0.2,7.20873067782343,gini,log2,1,2,100,8,0
0.6,0.6,0.4,14.41746135564686,gini,sqrt,10,2,100,8,1
0.6,0.5555555555555556,0.4,14.417461355646859,gini,sqrt,1,10,100,8,2
0.65,0.6666666666666666,0.35,12.615278686191001,gini,log2,10,2,100,8,3
0.75,0.7058823529411765,0.25,9.010913347279288,gini,log2,10,2,100,8,4
0.65,0.631578947368421,0.35,12.615278686191001,gini,log2,1,2,200,8,5
0.85,0.8235294117647058,0.15,5.406548008367573,entropy,sqrt,1,10,100,8,6
0.85,0.8,0.15,5.406548008367573,gini,log2,1,2,200,8,7
0.75,0.782608695652174,0.25,9.010913347279288,gini,sqrt,1,2,200,8,8
0.65,0.631578947368421,0.35,12.615278686191004,gini,log2,10,10,200,8,9
0.8,0.75,0.2,7.20873067782343,entropy,sqrt,1,10,100,9,0
0.75,0.7368421052631579,0.25,9.010913347279288,entropy,log2,1,10,100,9,1
0.7,0.7272727272727273,0.3,10.813096016735145,gini,log2,1,2,200,9,2
0.85,0.8571428571428571,0.15,5.406548008367573,gini,log2,1,2,200,9,3
0.65,0.5333333333333333,0.35,12.615278686191001,gini,sqrt,1,10,100,9,4
0.75,0.7619047619047619,0.25,9.010913347279288,gini,sqrt,10,2,200,9,5
0.9,0.9090909090909091,0.1,3.604365338911715,entropy,log2,10,2,100,9,6
0.85,0.8,0.15,5.406548008367573,entropy,log2,1,2,200,9,7
0.85,0.8571428571428571,0.15,5.406548008367573,gini,sqrt,10,2,200,9,8
0.85,0.8571428571428571,0.15,5.406548008367573,gini,log2,1,2,200,9,9
