accuracy,f1_score,brier_score,log_loss,criterion,max_features,min_samples_leaf,min_samples_split,n_estimators,repeat,fold
0.84,0.8490566037735849,0.16,5.766984542258744,entropy,log2,1,2,200,0,0
0.85,0.8648648648648649,0.15,5.406548008367573,gini,sqrt,1,2,200,0,1
0.79,0.7961165048543689,0.21,7.5691672117146025,entropy,log2,1,2,200,0,2
0.82,0.8085106382978723,0.18,6.487857610041087,gini,log2,1,2,200,0,3
0.82,0.8,0.18,6.487857610041087,gini,sqrt,1,2,100,0,4
0.88,0.8823529411764706,0.12,4.325238406694059,gini,sqrt,1,10,200,0,5
0.8,0.8181818181818182,0.2,7.20873067782343,entropy,log2,1,10,200,0,6
0.84,0.8367346938775511,0.16,5.7669845422587445,gini,log2,1,2,100,0,7
0.8,0.7916666666666666,0.2,7.20873067782343,gini,sqrt,1,2,200,0,8
0.85,0.8598130841121495,0.15,5.406548008367573,entropy,sqrt,1,2,200,0,9
0.84,0.8461538461538461,0.16,5.7669845422587445,gini,log2,1,10,200,1,0
0.89,0.897196261682243,0.11,3.9648018728028864,gini,log2,1,2,200,1,1
0.82,0.8421052631578947,0.18,6.487857610041087,entropy,log2,1,2,200,1,2
0.85,0.8623853211009175,0.15,5.406548008367573,entropy,sqrt,1,2,200,1,3
0.84,0.8367346938775511,0.16,5.7669845422587445,gini,sqrt,1,10,200,1,4
0.84,0.813953488372093,0.16,5.7669845422587445,entropy,log2,1,10,200,1,5
0.78,0.7708333333333334,0.22,7.929603745605773,gini,log2,1,2,200,1,6
0.84,0.84,0.16,5.7669845422587445,gini,sqrt,1,2,200,1,7
0.79,0.7640449438202247,0.21,7.569167211714602,entropy,sqrt,1,10,200,1,8
0.89,0.8910891089108911,0.11,3.9648018728028864,gini,sqrt,1,2,100,1,9
0.84,0.8571428571428571,0.16,5.7669845422587445,entropy,log2,1,2,200,2,0
0.83,0.8247422680412371,0.17,6.127421076149916,entropy,sqrt,1,2,200,2,1
0.88,0.875,0.12,4.325238406694058,entropy,log2,1,2,200,2,2
0.85,0.8514851485148515,0.15,5.406548008367572,gini,sqrt,1,2,100,2,3
0.8,0.8,0.2,7.20873067782343,gini,log2,1,2,200,2,4
0.82,0.8392857142857143,0.18,6.487857610041087,gini,sqrt,1,2,200,2,5
0.84,0.8490566037735849,0.16,5.7669845422587445,gini,sqrt,1,2,200,2,6
0.89,0.8952380952380953,0.11,3.9648018728028864,entropy,sqrt,1,10,200,2,7
0.89,0.8764044943820225,0.11,3.964801872802887,gini,sqrt,1,2,100,2,8
0.87,0.8602150537634409,0.13,4.685674940585231,gini,sqrt,1,2,200,2,9
0.85,0.8484848484848485,0.15,5.406548008367573,gini,log2,1,10,200,3,0
0.76,0.7692307692307693,0.24,8.650476813388117,gini,log2,1,2,200,3,1
0.83,0.8247422680412371,0.17,6.127421076149916,entropy,log2,1,2,200,3,2
0.82,0.8163265306122449,0.18,6.487857610041087,gini,log2,1,2,200,3,3
0.85,0.8051948051948052,0.15,5.406548008367573,entropy,sqrt,1,10,200,3,4
0.8,0.8113207547169812,0.2,7.20873067782343,entropy,log2,1,2,100,3,5
0.84,0.813953488372093,0.16,5.7669845422587445,entropy,log2,1,2,200,3,6
0.84,0.864406779661017,0.16,5.7669845422587445,entropy,log2,1,2,200,3,7
0.87,0.8807339449541285,0.13,4.68567494058523,entropy,sqrt,1,10,200,3,8
0.9,0.9038461538461539,0.1,3.604365338911715,gini,log2,1,2,100,3,9
0.78,0.7843137254901961,0.22,7.929603745605774,gini,sqrt,1,2,200,4,0
0.8,0.8387096774193549,0.2,7.208730677823431,entropy,sqrt,1,2,200,4,1
0.87,0.8712871287128713,0.13,4.68567494058523,gini,sqrt,1,10,100,4,2
0.83,0.8349514563106796,0.17,6.127421076149916,gini,sqrt,1,2,200,4,3
0.77,0.780952380952381,0.23,8.290040279496946,entropy,sqrt,1,10,200,4,4
0.85,0.8351648351648352,0.15,5.406548008367572,gini,log2,1,2,200,4,5
0.89,0.8910891089108911,0.11,3.9648018728028864,gini,sqrt,1,2,200,4,6
0.79,0.7789473684210526,0.21,7.569167211714602,entropy,sqrt,1,2,100,4,7
0.82,0.82,0.18,6.487857610041087,entropy,log2,1,2,100,4,8
0.8,0.7674418604651163,0.2,7.20873067782343,gini,log2,1,2,200,4,9
0.84,0.84,0.16,5.766984542258744,gini,sqrt,1,2,200,5,0
0.8,0.8214285714285714,0.2,7.20873067782343,entropy,log2,1,2,200,5,1
0.79,0.7920792079207921,0.21,7.569167211714602,gini,sqrt,1,10,100,5,2
0.75,0.7572815533980582,0.25,9.01091334727929,entropy,sqrt,1,2,100,5,3
0.86,0.8571428571428571,0.14,5.046111474476401,gini,sqrt,1,2,200,5,4
0.76,0.7857142857142857,0.24,8.650476813388117,entropy,sqrt,1,2,200,5,5
0.81,0.7912087912087912,0.19,6.848294143932259,entropy,log2,1,2,100,5,6
0.84,0.8222222222222222,0.16,5.7669845422587445,entropy,sqrt,1,2,100,5,7
0.86,0.8571428571428571,0.14,5.046111474476402,gini,sqrt,1,2,200,5,8
0.84,0.8333333333333334,0.16,5.7669845422587445,entropy,log2,1,2,200,5,9
0.82,0.8269230769230769,0.18,6.487857610041087,gini,sqrt,1,2,200,6,0
0.88,0.8846153846153846,0.12,4.325238406694059,gini,sqrt,1,2,200,6,1
0.84,0.8297872340425532,0.16,5.7669845422587445,entropy,sqrt,1,2,100,6,2
0.81,0.7912087912087912,0.19,6.848294143932259,entropy,log2,1,2,200,6,3
0.81,0.8155339805825242,0.19,6.848294143932259,entropy,sqrt,1,2,200,6,4
0.86,0.8541666666666666,0.14,5.046111474476402,entropy,log2,1,10,200,6,5
0.88,0.8846153846153846,0.12,4.325238406694059,entropy,log2,1,2,100,6,6
0.88,0.8775510204081632,0.12,4.325238406694059,gini,log2,1,2,200,6,7
0.78,0.7924528301886793,0.22,7.929603745605774,gini,log2,1,2,200,6,8
0.85,0.8648648648648649,0.15,5.406548008367572,gini,log2,1,2,100,6,9
0.86,0.8653846153846154,0.14,5.046111474476401,gini,sqrt,1,10,200,7,0
0.86,0.8541666666666666,0.14,5.046111474476401,entropy,sqrt,1,2,200,7,1
0.82,0.8235294117647058,0.18,6.487857610041087,entropy,log2,1,10,200,7,2
0.81,0.8256880733944955,0.19,6.848294143932259,gini,log2,1,2,200,7,3
0.8,0.8113207547169812,0.2,7.20873067782343,gini,sqrt,1,10,200,7,4
0.82,0.8,0.18,6.487857610041087,entropy,sqrt,1,2,200,7,5
0.89,0.8842105263157894,0.11,3.9648018728028864,entropy,log2,1,2,200,7,6
0.88,0.8636363636363636,0.12,4.325238406694059,gini,log2,1,2,200,7,7
0.84,0.8596491228070176,0.16,5.7669845422587445,gini,log2,1,10,200,7,8
0.74,0.7450980392156863,0.26,9.371349881170461,entropy,log2,1,10,200,7,9
0.81,0.819047619047619,0.19,6.848294143932259,gini,sqrt,1,2,200,8,0
0.88,0.8695652173913043,0.12,4.325238406694058,gini,log2,1,2,200,8,1
0.85,0.845360824742268,0.15,5.406548008367573,gini,log2,1,2,200,8,2
0.87,0.865979381443299,0.13,4.68567494058523,entropy,sqrt,1,2,200,8,3
0.84,0.8333333333333334,0.16,5.7669845422587445,gini,sqrt,1,10,100,8,4
0.83,0.8440366972477065,0.17,6.127421076149916,entropy,log2,1,2,100,8,5
0.83,0.8349514563106796,0.17,6.127421076149915,entropy,sqrt,1,10,200,8,6
0.85,0.8484848484848485,0.15,5.406548008367573,gini,sqrt,1,2,200,8,7
0.82,0.8301886792452831,0.18,6.487857610041087,gini,sqrt,1,2,200,8,8
0.86,0.8703703703703703,0.14,5.046111474476402,gini,sqrt,1,2,100,8,9
0.85,0.8598130841121495,0.15,5.406548008367573,gini,sqrt,1,10,200,9,0
0.76,0.7647058823529411,0.24,8.650476813388117,gini,sqrt,1,2,200,9,1
0.92,0.9230769230769231,0.08,2.8834922711293722,entropy,sqrt,1,2,200,9,2
0.88,0.8775510204081632,0.12,4.325238406694059,gini,log2,1,2,200,9,3
0.88,0.8695652173913043,0.12,4.325238406694059,entropy,log2,10,10,200,9,4
0.88,0.8947368421052632,0.12,4.325238406694059,gini,log2,1,2,200,9,5
0.87,0.8602150537634409,0.13,4.68567494058523,gini,log2,1,2,100,9,6
0.85,0.8543689320388349,0.15,5.406548008367572,entropy,log2,1,2,100,9,7
0.84,0.8596491228070176,0.16,5.7669845422587445,gini,log2,1,10,200,9,8
0.83,0.8316831683168316,0.17,6.127421076149916,gini,log2,1,10,200,9,9
