accuracy,f1_score,brier_score,log_loss,C,repeat,fold
0.82,0.8125,0.18,6.487857610041087,0.1,0,0
0.835,0.8421052631578947,0.165,5.94720280920433,0.1,0,1
0.79,0.7980769230769231,0.21,7.5691672117146025,0.1,0,2
0.795,0.7853403141361257,0.205,7.388948944769015,0.1,0,3
0.77,0.780952380952381,0.23,8.290040279496944,0.1,0,4
0.735,0.7439613526570048,0.265,9.551568148116045,0.1,0,5
0.795,0.8056872037914692,0.205,7.388948944769015,0.1,0,6
0.785,0.7700534759358288,0.215,7.749385478660188,0.1,0,7
0.78,0.7864077669902912,0.22,7.929603745605774,0.1,0,8
0.855,0.8585365853658536,0.145,5.226329741421987,0.1,0,9
0.8,0.8058252427184466,0.2,7.20873067782343,1.0,1,0
0.78,0.7582417582417582,0.22,7.929603745605773,0.1,1,1
0.865,0.8540540540540541,0.135,4.8658932075308154,0.1,1,2
0.78,0.7731958762886598,0.22,7.929603745605774,10.0,1,3
0.835,0.8341708542713567,0.165,5.94720280920433,0.1,1,4
0.785,0.7794871794871795,0.215,7.749385478660188,1.0,1,5
0.82,0.8348623853211009,0.18,6.487857610041087,0.1,1,6
0.755,0.7292817679558011,0.245,8.830695080333703,0.1,1,7
0.795,0.7783783783783784,0.205,7.388948944769016,0.1,1,8
0.8,0.8305084745762712,0.2,7.20873067782343,10.0,1,9
0.805,0.8059701492537313,0.195,7.028512410877845,1.0,2,0
0.815,0.8246445497630331,0.185,6.668075876986673,0.1,2,1
0.73,0.7326732673267327,0.27,9.731786415061631,0.1,2,2
0.83,0.8380952380952381,0.17,6.127421076149916,0.1,2,3
0.835,0.8341708542713567,0.165,5.94720280920433,10.0,2,4
0.8,0.7938144329896907,0.2,7.20873067782343,0.1,2,5
0.78,0.78,0.22,7.929603745605773,0.1,2,6
0.78,0.7608695652173914,0.22,7.929603745605774,0.1,2,7
0.79,0.78125,0.21,7.5691672117146025,1.0,2,8
0.805,0.8,0.195,7.028512410877845,0.1,2,9
0.815,0.8310502283105022,0.185,6.668075876986673,0.1,3,0
0.86,0.8653846153846154,0.14,5.046111474476402,0.1,3,1
0.865,0.8383233532934131,0.135,4.8658932075308154,0.1,3,2
0.735,0.7389162561576355,0.265,9.551568148116045,1.0,3,3
0.81,0.8272727272727273,0.19,6.848294143932259,0.1,3,4
0.85,0.8484848484848485,0.15,5.406548008367573,0.1,3,5
0.745,0.7272727272727273,0.255,9.191131614224874,1.0,3,6
0.75,0.7619047619047619,0.25,9.010913347279288,0.1,3,7
0.81,0.81,0.19,6.84829414393226,0.1,3,8
0.795,0.7783783783783784,0.205,7.388948944769016,1.0,3,9
0.79,0.7941176470588235,0.21,7.5691672117146025,0.1,4,0
0.8,0.7872340425531915,0.2,7.20873067782343,0.1,4,1
0.825,0.8341232227488151,0.175,6.307639343095502,0.1,4,2
0.795,0.8,0.205,7.388948944769016,10.0,4,3
0.865,0.8629441624365483,0.135,4.8658932075308154,0.1,4,4
0.77,0.7472527472527473,0.23,8.290040279496946,1.0,4,5
0.795,0.7897435897435897,0.205,7.388948944769016,0.1,4,6
0.845,0.848780487804878,0.155,5.586766275313158,10.0,4,7
0.875,0.8837209302325582,0.125,4.505456673639644,0.1,4,8
0.78,0.78,0.22,7.929603745605773,10.0,4,9
0.815,0.8082901554404145,0.185,6.6680758769866735,0.1,5,0
0.785,0.7817258883248731,0.215,7.749385478660188,0.1,5,1
0.82,0.8021978021978022,0.18,6.487857610041087,10.0,5,2
0.845,0.8558139534883721,0.155,5.586766275313158,1.0,5,3
0.77,0.77,0.23,8.290040279496946,0.1,5,4
0.785,0.7542857142857143,0.215,7.749385478660188,0.1,5,5
0.78,0.7821782178217822,0.22,7.929603745605773,0.1,5,6
0.795,0.7939698492462312,0.205,7.388948944769016,0.1,5,7
0.795,0.8127853881278538,0.205,7.388948944769016,1.0,5,8
0.815,0.8262910798122066,0.185,6.6680758769866735,10.0,5,9
0.79,0.7878787878787878,0.21,7.5691672117146025,1.0,6,0
0.79,0.7961165048543689,0.21,7.5691672117146025,1.0,6,1
0.83,0.839622641509434,0.17,6.127421076149916,0.1,6,2
0.79,0.7857142857142857,0.21,7.5691672117146025,10.0,6,3
0.84,0.8415841584158416,0.16,5.7669845422587445,1.0,6,4
0.82,0.8317757009345794,0.18,6.487857610041087,0.1,6,5
0.815,0.8121827411167513,0.185,6.668075876986673,0.1,6,6
0.78,0.7924528301886793,0.22,7.929603745605773,1.0,6,7
0.805,0.7771428571428571,0.195,7.028512410877845,10.0,6,8
0.815,0.8102564102564103,0.185,6.668075876986673,0.1,6,9
0.75,0.7706422018348624,0.25,9.010913347279288,0.1,7,0
0.865,0.8586387434554974,0.135,4.8658932075308154,0.1,7,1
0.8,0.7647058823529411,0.2,7.20873067782343,0.1,7,2
0.75,0.7572815533980582,0.25,9.010913347279288,0.1,7,3
0.815,0.7932960893854749,0.185,6.668075876986673,1.0,7,4
0.81,0.822429906542056,0.19,6.848294143932259,0.1,7,5
0.77,0.7578947368421053,0.23,8.290040279496946,0.1,7,6
0.835,0.8571428571428571,0.165,5.94720280920433,1.0,7,7
0.825,0.8275862068965517,0.175,6.307639343095502,0.1,7,8
0.745,0.7559808612440191,0.255,9.191131614224874,0.1,7,9
0.8,0.7727272727272727,0.2,7.20873067782343,0.1,8,0
0.785,0.7772020725388601,0.215,7.749385478660188,0.1,8,1
0.86,0.8727272727272727,0.14,5.046111474476402,0.1,8,2
0.82,0.8,0.18,6.487857610041087,0.1,8,3
0.835,0.8216216216216217,0.165,5.94720280920433,1.0,8,4
0.785,0.7860696517412935,0.215,7.749385478660188,0.1,8,5
0.735,0.7253886010362695,0.265,9.551568148116045,0.1,8,6
0.835,0.8493150684931506,0.165,5.94720280920433,0.1,8,7
0.795,0.8056872037914692,0.205,7.388948944769016,10.0,8,8
0.83,0.8380952380952381,0.17,6.127421076149915,1.0,8,9
0.82,0.8163265306122449,0.18,6.487857610041087,1.0,9,0
0.8,0.8,0.2,7.20873067782343,1.0,9,1
0.825,0.8223350253807107,0.175,6.307639343095502,0.1,9,2
0.795,0.8093023255813954,0.205,7.388948944769015,0.1,9,3
0.825,0.8356807511737089,0.175,6.307639343095502,10.0,9,4
0.845,0.8359788359788359,0.155,5.586766275313158,0.1,9,5
0.8,0.8181818181818182,0.2,7.208730677823431,1.0,9,6
0.83,0.83,0.17,6.127421076149916,0.1,9,7
0.74,0.7263157894736842,0.26,9.371349881170458,1.0,9,8
0.795,0.783068783068783,0.205,7.388948944769016,1.0,9,9
