accuracy,f1_score,brier_score,C,gamma,kernel,repeat,fold
0.865,0.8669950738916257,0.135,10,scale,rbf,0,0
0.865,0.8682926829268293,0.135,10,scale,rbf,0,1
0.82,0.82,0.18,10,scale,rbf,0,2
0.855,0.8557213930348259,0.145,10,scale,rbf,0,3
0.89,0.8842105263157894,0.11,10,scale,rbf,0,4
0.835,0.8253968253968254,0.165,10,scale,rbf,0,5
0.87,0.8631578947368421,0.13,10,scale,rbf,0,6
0.85,0.8421052631578947,0.15,10,scale,rbf,0,7
0.895,0.9082969432314411,0.105,10,scale,rbf,0,8
0.865,0.8682926829268293,0.135,10,scale,rbf,0,9
0.865,0.8669950738916257,0.135,10,scale,rbf,1,0
0.865,0.8682926829268293,0.135,10,scale,rbf,1,1
0.82,0.82,0.18,10,scale,rbf,1,2
0.855,0.8557213930348259,0.145,10,scale,rbf,1,3
0.89,0.8842105263157894,0.11,10,scale,rbf,1,4
0.835,0.8253968253968254,0.165,10,scale,rbf,1,5
0.87,0.8631578947368421,0.13,10,scale,rbf,1,6
0.85,0.8421052631578947,0.15,10,scale,rbf,1,7
0.895,0.9082969432314411,0.105,10,scale,rbf,1,8
0.865,0.8682926829268293,0.135,10,scale,rbf,1,9
0.865,0.8669950738916257,0.135,10,scale,rbf,2,0
0.865,0.8682926829268293,0.135,10,scale,rbf,2,1
0.82,0.82,0.18,10,scale,rbf,2,2
0.855,0.8557213930348259,0.145,10,scale,rbf,2,3
0.89,0.8842105263157894,0.11,10,scale,rbf,2,4
0.835,0.8253968253968254,0.165,10,scale,rbf,2,5
0.87,0.8631578947368421,0.13,10,scale,rbf,2,6
0.85,0.8421052631578947,0.15,10,scale,rbf,2,7
0.895,0.9082969432314411,0.105,10,scale,rbf,2,8
0.865,0.8682926829268293,0.135,10,scale,rbf,2,9
0.865,0.8669950738916257,0.135,10,scale,rbf,3,0
0.865,0.8682926829268293,0.135,10,scale,rbf,3,1
0.82,0.82,0.18,10,scale,rbf,3,2
0.855,0.8557213930348259,0.145,10,scale,rbf,3,3
0.89,0.8842105263157894,0.11,10,scale,rbf,3,4
0.835,0.8253968253968254,0.165,10,scale,rbf,3,5
0.87,0.8631578947368421,0.13,10,scale,rbf,3,6
0.85,0.8421052631578947,0.15,10,scale,rbf,3,7
0.895,0.9082969432314411,0.105,10,scale,rbf,3,8
0.865,0.8682926829268293,0.135,10,scale,rbf,3,9
0.865,0.8669950738916257,0.135,10,scale,rbf,4,0
0.865,0.8682926829268293,0.135,10,scale,rbf,4,1
0.82,0.82,0.18,10,scale,rbf,4,2
0.855,0.8557213930348259,0.145,10,scale,rbf,4,3
0.89,0.8842105263157894,0.11,10,scale,rbf,4,4
0.835,0.8253968253968254,0.165,10,scale,rbf,4,5
0.87,0.8631578947368421,0.13,10,scale,rbf,4,6
0.85,0.8421052631578947,0.15,10,scale,rbf,4,7
0.895,0.9082969432314411,0.105,10,scale,rbf,4,8
0.865,0.8682926829268293,0.135,10,scale,rbf,4,9
0.865,0.8669950738916257,0.135,10,scale,rbf,5,0
0.865,0.8682926829268293,0.135,10,scale,rbf,5,1
0.82,0.82,0.18,10,scale,rbf,5,2
0.855,0.8557213930348259,0.145,10,scale,rbf,5,3
0.89,0.8842105263157894,0.11,10,scale,rbf,5,4
0.835,0.8253968253968254,0.165,10,scale,rbf,5,5
0.87,0.8631578947368421,0.13,10,scale,rbf,5,6
0.85,0.8421052631578947,0.15,10,scale,rbf,5,7
0.895,0.9082969432314411,0.105,10,scale,rbf,5,8
0.865,0.8682926829268293,0.135,10,scale,rbf,5,9
0.865,0.8669950738916257,0.135,10,scale,rbf,6,0
0.865,0.8682926829268293,0.135,10,scale,rbf,6,1
0.82,0.82,0.18,10,scale,rbf,6,2
0.855,0.8557213930348259,0.145,10,scale,rbf,6,3
0.89,0.8842105263157894,0.11,10,scale,rbf,6,4
0.835,0.8253968253968254,0.165,10,scale,rbf,6,5
0.87,0.8631578947368421,0.13,10,scale,rbf,6,6
0.85,0.8421052631578947,0.15,10,scale,rbf,6,7
0.895,0.9082969432314411,0.105,10,scale,rbf,6,8
0.865,0.8682926829268293,0.135,10,scale,rbf,6,9
0.865,0.8669950738916257,0.135,10,scale,rbf,7,0
0.865,0.8682926829268293,0.135,10,scale,rbf,7,1
0.82,0.82,0.18,10,scale,rbf,7,2
0.855,0.8557213930348259,0.145,10,scale,rbf,7,3
0.89,0.8842105263157894,0.11,10,scale,rbf,7,4
0.835,0.8253968253968254,0.165,10,scale,rbf,7,5
0.87,0.8631578947368421,0.13,10,scale,rbf,7,6
0.85,0.8421052631578947,0.15,10,scale,rbf,7,7
0.895,0.9082969432314411,0.105,10,scale,rbf,7,8
0.865,0.8682926829268293,0.135,10,scale,rbf,7,9
0.865,0.8669950738916257,0.135,10,scale,rbf,8,0
0.865,0.8682926829268293,0.135,10,scale,rbf,8,1
0.82,0.82,0.18,10,scale,rbf,8,2
0.855,0.8557213930348259,0.145,10,scale,rbf,8,3
0.89,0.8842105263157894,0.11,10,scale,rbf,8,4
0.835,0.8253968253968254,0.165,10,scale,rbf,8,5
