accuracy,f1_score,brier_score,criterion,max_features,min_samples_leaf,min_samples_split,n_estimators,repeat,fold
0.83,0.8210526315789474,0.17,gini,log2,1,2,200,0,0
0.8,0.803921568627451,0.2,gini,sqrt,1,2,100,0,1
0.82,0.8085106382978723,0.18,entropy,sqrt,1,2,200,0,2
0.79,0.7407407407407407,0.21,entropy,log2,1,2,200,0,3
0.88,0.8823529411764706,0.12,gini,sqrt,1,2,200,0,4
0.83,0.8316831683168316,0.17,gini,log2,1,10,200,0,5
0.89,0.9009009009009009,0.11,gini,log2,1,10,100,0,6
0.84,0.8596491228070176,0.16,entropy,sqrt,1,2,200,0,7
0.76,0.7818181818181819,0.24,entropy,sqrt,1,2,200,0,8
0.85,0.8275862068965517,0.15,gini,log2,1,10,200,0,9
0.85,0.8484848484848485,0.15,entropy,sqrt,1,10,200,1,0
0.77,0.7766990291262136,0.23,entropy,log2,1,2,200,1,1
0.83,0.8172043010752689,0.17,entropy,sqrt,1,2,200,1,2
0.77,0.7294117647058823,0.23,gini,sqrt,1,2,200,1,3
0.88,0.8775510204081632,0.12,entropy,sqrt,1,2,200,1,4
0.86,0.86,0.14,gini,log2,1,2,100,1,5
0.91,0.9203539823008849,0.09,gini,sqrt,1,2,200,1,6
0.85,0.8717948717948718,0.15,entropy,sqrt,1,10,200,1,7
0.77,0.7964601769911505,0.23,entropy,sqrt,1,2,200,1,8
0.78,0.7380952380952381,0.22,entropy,sqrt,1,2,200,1,9
0.85,0.8514851485148515,0.15,gini,sqrt,1,2,200,2,0
0.76,0.7647058823529411,0.24,entropy,log2,1,10,200,2,1
0.8,0.7872340425531915,0.2,gini,log2,1,2,200,2,2
0.76,0.7,0.24,gini,sqrt,1,2,200,2,3
0.86,0.86,0.14,entropy,sqrt,1,2,100,2,4
0.84,0.8367346938775511,0.16,entropy,sqrt,1,2,200,2,5
0.92,0.9285714285714286,0.08,entropy,sqrt,1,10,200,2,6
0.85,0.8760330578512396,0.15,entropy,log2,1,2,200,2,7
0.73,0.7567567567567568,0.27,gini,log2,1,10,200,2,8
0.83,0.8089887640449438,0.17,entropy,log2,1,2,200,2,9
0.84,0.8431372549019608,0.16,entropy,log2,1,10,200,3,0
0.82,0.8235294117647058,0.18,entropy,log2,1,2,200,3,1
0.78,0.7708333333333334,0.22,gini,sqrt,1,10,200,3,2
0.77,0.7228915662650602,0.23,entropy,sqrt,1,2,200,3,3
0.85,0.8514851485148515,0.15,entropy,sqrt,1,10,100,3,4
0.88,0.8775510204081632,0.12,gini,log2,1,2,200,3,5
0.91,0.918918918918919,0.09,entropy,sqrt,1,2,200,3,6
0.86,0.8793103448275862,0.14,entropy,sqrt,1,2,200,3,7
0.78,0.8,0.22,entropy,sqrt,1,10,100,3,8
0.81,0.7865168539325843,0.19,entropy,sqrt,1,2,200,3,9
0.85,0.845360824742268,0.15,gini,log2,1,10,200,4,0
0.8,0.803921568627451,0.2,entropy,sqrt,1,2,100,4,1
0.83,0.8210526315789474,0.17,entropy,log2,1,2,200,4,2
0.81,0.7654320987654321,0.19,entropy,sqrt,1,2,200,4,3
0.89,0.8888888888888888,0.11,entropy,sqrt,1,2,200,4,4
0.85,0.845360824742268,0.15,entropy,sqrt,1,10,200,4,5
0.92,0.9259259259259259,0.08,entropy,log2,1,2,200,4,6
0.84,0.8620689655172413,0.16,entropy,sqrt,1,2,200,4,7
0.73,0.7522935779816514,0.27,gini,sqrt,1,2,200,4,8
0.83,0.8045977011494253,0.17,gini,log2,1,2,200,4,9
0.85,0.845360824742268,0.15,entropy,sqrt,1,2,200,5,0
0.83,0.8349514563106796,0.17,gini,sqrt,1,2,200,5,1
0.8,0.7872340425531915,0.2,entropy,sqrt,1,2,200,5,2
0.8,0.7619047619047619,0.2,entropy,sqrt,1,2,100,5,3
0.84,0.84,0.16,entropy,sqrt,1,10,200,5,4
0.85,0.8484848484848485,0.15,gini,sqrt,1,10,100,5,5
0.88,0.8888888888888888,0.12,entropy,log2,1,2,200,5,6
0.84,0.864406779661017,0.16,gini,sqrt,1,10,200,5,7
0.8,0.8181818181818182,0.2,gini,sqrt,1,2,200,5,8
0.78,0.7441860465116279,0.22,entropy,sqrt,1,2,200,5,9
0.85,0.8514851485148515,0.15,gini,sqrt,1,2,200,6,0
0.8,0.803921568627451,0.2,entropy,sqrt,1,10,100,6,1
0.81,0.8,0.19,entropy,sqrt,1,2,200,6,2
0.77,0.7228915662650602,0.23,entropy,log2,1,10,200,6,3
0.84,0.8461538461538461,0.16,gini,sqrt,1,10,200,6,4
0.84,0.84,0.16,gini,log2,1,2,200,6,5
0.89,0.9009009009009009,0.11,gini,sqrt,1,2,200,6,6
0.87,0.8907563025210085,0.13,gini,sqrt,1,10,100,6,7
