accuracy,f1_score,brier_score,log_loss,criterion,max_features,min_samples_leaf,min_samples_split,n_estimators,repeat,fold
0.82,0.18181818181818182,0.18,6.487857610041087,gini,sqrt,1,2,100,0,0
0.82,0.18181818181818182,0.18,6.487857610041087,gini,sqrt,1,2,200,0,1
0.84,0.3333333333333333,0.16,5.7669845422587445,gini,log2,1,2,200,0,2
0.8,0.0,0.2,7.20873067782343,gini,log2,1,2,100,0,3
0.8,0.375,0.2,7.20873067782343,gini,sqrt,1,2,100,0,4
0.86,0.46153846153846156,0.14,5.046111474476401,gini,sqrt,1,2,200,0,5
0.84,0.3333333333333333,0.16,5.7669845422587445,gini,sqrt,1,2,200,0,6
0.82,0.18181818181818182,0.18,6.487857610041087,entropy,sqrt,1,2,100,0,7
0.84,0.3333333333333333,0.16,5.7669845422587445,gini,sqrt,1,2,200,0,8
0.8,0.0,0.2,7.20873067782343,gini,sqrt,1,2,200,0,9
0.8,0.18181818181818182,0.2,7.20873067782343,gini,sqrt,1,2,100,1,0
0.8,0.0,0.2,7.20873067782343,gini,sqrt,1,2,200,1,1
0.8,0.0,0.2,7.20873067782343,gini,log2,1,10,100,1,2
0.8444444444444444,0.36363636363636365,0.15555555555555556,5.606790527196002,gini,sqrt,1,2,200,1,3
0.8444444444444444,0.36363636363636365,0.15555555555555556,5.606790527196002,gini,log2,1,10,100,1,4
0.8,0.0,0.2,7.20873067782343,entropy,sqrt,1,10,100,1,5
0.8222222222222222,0.2,0.17777777777777778,6.4077606025097165,entropy,sqrt,1,2,100,1,6
0.8,0.0,0.2,7.20873067782343,entropy,log2,1,2,100,1,7
0.8,0.0,0.2,7.20873067782343,gini,log2,1,10,100,1,8
0.8444444444444444,0.36363636363636365,0.15555555555555556,5.606790527196002,gini,sqrt,1,10,200,1,9
0.8780487804878049,0.5454545454545454,0.12195121951219512,4.3955674864777015,gini,log2,1,10,200,2,0
0.8048780487804879,0.0,0.1951219512195122,7.032907978364323,gini,sqrt,1,10,100,2,1
0.8292682926829268,0.2222222222222222,0.17073170731707318,6.153794481068783,gini,sqrt,1,10,100,2,2
0.8048780487804879,0.0,0.1951219512195122,7.032907978364323,gini,sqrt,1,10,200,2,3
0.7804878048780488,0.0,0.21951219512195122,7.912021475659863,entropy,log2,1,2,100,2,4
0.775,0.0,0.225,8.109822012551358,gini,sqrt,1,10,100,2,5
0.8,0.0,0.2,7.20873067782343,gini,log2,1,2,200,2,6
0.8,0.0,0.2,7.20873067782343,gini,sqrt,1,2,100,2,7
0.85,0.4,0.15,5.406548008367573,gini,sqrt,1,10,200,2,8
0.85,0.4,0.15,5.406548008367573,gini,sqrt,1,10,200,2,9
0.7837837837837838,0.0,0.21621621621621623,7.793222354403709,entropy,sqrt,1,10,100,3,0
